Code,Description
samp1,ND
samp2,Ground Turkey
samp3,Chicken
samp4,Chicken Breast
samp5,Cucumbers
samp6,Homo sapiens; stool sample
samp7,chicken jerkey dog treats
samp8,Animal-Swine-Market Swine
samp9,Soil
samp10,Moringa Leaf Powder
samp11,hen egg mader feed
samp12,Pork Chop
samp13,"sewage, sand island waste water"
samp14,Pecans
samp15,Ground Beef
samp16,Homo sapiens
samp17,Blood
samp18,Pus
samp19,Human; Homo sapiens
samp20,water pond BB
samp21,Animal-Chicken-Young Chicken
samp22,Pork
samp23,Coriander Powder
samp24,"granola bar, chocolate chip"
samp25,swabs
samp26,homo spaiens; Stool
samp27,Stool
samp28,Cashews
samp29,Garlic Powder
samp30,Homo sapiens; Feces
samp31,Beef
samp32,frz featherback
samp33,Bos taurus; bovine feces
samp34,feces; Homo sapiens
samp35,Carrier
samp36,Coyote
samp37,Liver
samp38,River (Thames River)
samp39,Faeces
samp40,Pig
samp41,Poultry
samp42,Snake
samp43,Animal Feed
samp44,Human Carrier
samp45,River
samp46,Pigeon
samp47,Tortoise
samp48,Hedgehog
samp49,Meal
samp50,Tiliqua rugosa
samp51,Fish Meal
samp52,Agame
samp53,Meat
samp54,Water
samp55,Rattus fuscipes
samp56,Environment
samp57,Lizard
samp58,Fish
samp59,Bird
samp60,Chicken Meat
samp61,Turtle
samp62,stool; Homo sapiens
samp63,Stool/Fecal; Homo sapiens
samp64,wound; Homo sapiens; Age: 66; female
samp65,Sus scrofa domesticus; Faeces
samp66,Animal-Swine-Sow
samp67,feces; Swine
samp68,thyme mix (home made zattar)
samp69,Environmental
samp70,product-eggs-raw-whole
samp71,environmental swab
samp72,bovine liver abscess; Bos taurus
samp73,frozen raw stuffed chicken product
samp74,frozen crab sections
samp75,clinical; Homo sapiens
samp76,"shrimp, white, farm raised, raw, frz"
samp77,urine; Homo sapiens
samp78,istanbolli white cheese
samp79,Comminuted Chicken
samp80,Microgreen
samp81,NRTE (Not-Ready-to-Eat) Comminuted Poultry Exploratory Sampling - Chickens
samp82,sugar free pistachio halva
samp83,river water
samp84,cilantro sauce
samp85,black pepper
samp86,bovine intestine; Bos taurus
samp87,chicken lung; Gallus gallus
samp88,product-eggs-raw-yolks
samp89,frozen octopus
samp90,sunflower seeds
samp91,poultry tissue; Gallus gallus
samp92,nantucket blend trail mix
samp93,field
samp94,porcine intestin; Sus scrofa
samp95,river catfish (ayer)
samp96,product-eggs-raw-whites
samp97,chilly powder
samp98,sheep ground meat
samp99,cantaloupe
samp100,chili powder
samp101,Cucumber
samp102,Pistachio
samp103,stool; male; Homo sapiens; Age: 51
samp104,sesame seeds
samp105,environmental sample from creamery
samp106,chocolate coated marshmallow
samp107,korean chili (peppers)
samp108,suwanee river water
samp109,blood; Human
samp110,Fecal; Bos taurus
samp111,sediment
samp112,Bovine Liver; Bos taurus
samp113,feces; Bovine
samp114,Bovine (feces)
samp115,surface
samp116,coconut shredded
samp117,Leucophaeus pipixcan; Franklin gull
samp118,feces; Dog
samp119,Nonmeat-Other
samp120,ovine
samp121,"pet treat, dog chew"
samp122,cat food
samp123,frz shrimp
samp124,"cumin, whole"
samp125,coconut flakes
samp126,whole black pepper
samp127,pepper powder
samp128,FROZEN SMALL CRAB
samp129,galda
samp130,Bovine Feces; Bos taurus
samp131,hilsa fish
samp132,"peanuts, spicy"
samp133,frozen octopus whole cleaned wild caught
samp134,corn snake cage swab
samp135,baby spinach
samp136,cilantro
samp137,VEGGIE BOOTY
samp138,COMMON REDGULL
samp139,produce field - drag swab
samp140,Bovine (carcass)
samp141,hulled sesame seeds
samp142,Cow
samp143,Turtle Tank
samp144,prepared cut cuttlefish
samp145,almond butter
samp146,flour
samp147,dog food
samp148,pistachios
samp149,Raw Intact Chicken
samp150,snail
samp151,Environment(Wastewater)
samp152,Human(Urine)
samp153,Human(Feces)
samp154,macadamia nuts-diced pieces
samp155,feces; Sus scrofa
samp156,frozen blue runner
samp157,Little River; water
samp158,Homo sapiens; Stool
samp159,Chlamydosaurus kingii; Frilled lizard
samp160,human; blood
samp161,scad round
samp162,cumin seeds
samp163,white pepper
samp164,pig at slaughter; Sus domesticus
samp165,kibble
samp166,alfalfa sprouts
samp167,"cut hair tail, frz (fish)"
samp168,meat slaughter house swabs
samp169,cerase tea
samp170,dried egg powder
samp171,frozen mullet
samp172,shrimp
samp173,raw bone
samp174,Other
samp175,field green chard
samp176,chicken manure
samp177,dried mussel
samp178,Pork chops
samp179,frz yellow stripe mackerel
