Term,Expansion,,,,Term,Expansion,
Âµg,microgram,,,,µg,microgram,All Domains
a1,A1 grade,,,,a1,A1 grade,
aaa,AAA grade,,,,aaa,AAA grade,
b,bit,,,,b,bit,
B,byte,,,,B,byte,
bbl,barrel,,,,bbl,barrel,
bbq,barbeque,,,,bbq,barbeque,
bnl,boneless,,,,bnl,boneless,
BNLS,boneless,,,,BNLS,boneless,
C,Celsius,,,,C,Celsius,
cc ,cubic centimeter,,,,cc ,cubic centimeter,
cl,centilitre ,,,,cl,centilitre ,
cm,centimeter,,,,cm,centimeter,
cmÂ³,cubic centimeter,,,,cm³,cubic centimeter,
co,1a,,,,co,1a,
CSF,cerebrospinal fluid,,,,CSF,cerebrospinal fluid,
cu,cubic,,,,cu,cubic,
doz,dozen,,,,doz,dozen,
ez,easy,,,,ez,easy,
F,Fahrenheit,,,,F,Fahrenheit,
fl oz,fluid ounce,,,,fl oz,fluid ounce,
fld,fluid,,,,fld,fluid,
froz,frozen,,,,froz,frozen,
frz,frozen,,,,frz,frozen,
frz.,frozen,,,,frz.,frozen,
frzn,frozen,,,,frzn,frozen,
ft,foot,,,,ft,foot,
fz,frozen,,,,fz,frozen,
fzn,frozen,,,,fzn,frozen,
g,gram,,,,g,gram,
G,gigabyte,,,,G,gigabyte,
GA,Georgia,,,,GA,Georgia,
gal,gallon,,,,gal,gallon,
GB,gigabyte,,,,GB,gigabyte,
GI,gastrointestinal,,,,GI,gastrointestinal,
gm,gram,,,,gm,gram,
gms,grams,,,,gms,grams,
gr,gram,,,,gr,gram,
gr,grain,,,,gr,grain,
gro,gross,,,,gro,gross,
h2o,water,,,,h2o,water,
ha,hectare,,,,ha,hectare,
hlso,headless shell on,,,,hlso,headless shell on,
Human,homo sapiens,,,,Human,homo sapiens,
iqf,individually quick frozen,,,,iqf,individually quick frozen,
iwp,individually wrapped pack,,,,iwp,individually wrapped pack,
K,Kelvin,,,,K,Kelvin,
KB,kilobyte,,,,KB,kilobyte,
kg,kilogram,,,,kg,kilogram,
kl,kiloliter,,,,kl,kiloliter,
km,kilometer,,,,km,kilometer,
kt,karat,,,,kt,karat,
kw,kilowatt,,,,kw,kilowatt,
kwh,kilowatt hour,,,,kwh,kilowatt hour,
l,liter,,,,l,liter,
lb,pound,,,,lb,pound,
lbs,pounds,,,,lbs,pounds,
ln,lymph node,,,,ln,lymph node,
LT,long ton,,,,LT,long ton,
m,meter,,,,m,meter,
MB,megabyte,,,,MB,megabyte,
mcg,microgram,,,,mcg,microgram,
mg,milligram,,,,mg,milligram,
mi,mile,,,,mi,mile,
mix,mixture,,,,mix,mixture,
ml,milliliter,,,,ml,milliliter,
mm,millimeter,,,,mm,millimeter,
mph,miles per hour,,,,mph,miles per hour,
MT,metric ton,,,,MT,metric ton,
nd,not determined,,,,nd,not determined,
nm,nautical miles,,,,NRTE,not ready to eat,
NRTE,not ready to eat,,,,nrte,not ready to eat,
nrte,not ready to eat,,,,nw,net weight,
nw,net weight,,,,oz,ounce,
oz,ounce,,,,p&d,peeled and deveined,
p&d,peeled and deveined,,,,pb,peanut butter,
pb,peanut butter,,,,pct,packet,
pct,packet,,,,pt,pint,
pt,pint,,,,pud,peeled undeveined,
pud,peeled undeveined,,,,qt,quart,
qt,quart,,,,rpm,revolutions per minute,
rpm,revolutions per minute,,,,RTE,ready to eat,
RTE,ready to eat,,,,rte,ready to eat,
rte,ready to eat,,,,sknl,skinless,
sknl,skinless,,,,SKNLS,skinless,
SKNLS,skinless,,,,sp,species,
sp,species,,,,sq,square,
sq,square,,,,sqr,square,
sqr,square,,,,tbsp,tablespoon,
tbsp,tablespoon,,,,tn,metric ton,
tn,metric ton,,,,Tn,ton,
Tn,ton,,,,tsp,teaspoon,
tsp,teaspoon,,,,veg,vegetable,
veg,vegetable,,,,vol,volume,
vol,volume,,,,vp,vacuum packed,
vp,vacuum packed,,,,w pb,with peanut butter,
w pb,with peanut butter,,,,w/,with,
w/,with,,,,wr,whole round,
wr,whole round,,,,yd,yard,
yd,yard,,,,yf,yellowfin,
yf,yellowfin,,,,#,number,
#,number,,,,&,and,
&,and,,,,NM,New Mexico,
