Term,Expansion,Origin
aachar,indian pickle,Indian
aam,mango,Indian
adarak,ginger,Indian
adrak,ginger,Indian
adrak,ginger,Indian
ajwain,Apiaceae,Indian
ajwain,carom seeds,Indian
aloo,potato,Indian
aloo chole,potato and chick peas,Indian
alsi,linseed,Indian
alu,potato,Indian
am chur,mango powder,Indian
amb,mango,Indian
amchur,mango powder,Indian
appam,thin wafer,Indian
arhar,pigeon pea ,Indian
ashwagandha,rennet,Indian
ata,flour,Indian
atta,flour,Indian
avial,vegetable curry,Indian
badam,almond,Indian
bagar,spice and herb tempering,Indian
bahare,stuffed,Indian
baklava,dessert,Persian
bento,meal,Indian
bhelpuri,Indian snack,Indian
bhojan,meal,Indian
bhujia,Indian snack,Indian
bhuna,roasted,Indian
biryani,spiced saffron cooked rice,Indian
biryani pulav,spiced saffron cooked rice,Indian
calonji,vegetable product,Indian
chaaru,south indian vegetable soup,Indian
chai,tea,Indian
chalpata,spicy,Indian
chana,chick pea,Indian
channa,gram,Indian
chatney,sauce,Indian
chhuhara,dried dates,Indian
chilka,roasted gram,Indian
chiwda,snack food,Indian
daal,lentil,Indian
dahivada,snack food,Indian
dal,lentil,Indian
dalchini,cinnamon,Indian
dalmoth,lentil,Indian
deggi mirch,chili Powder,Indian
deshi puti,freshwater fish,
dhana jeera,spice mixture,Indian
dhanajeera,spice mixture,Indian
dhanajiru,spice mixture,Indian
dhanajlru,spice mixture,Indian
egusi,melon seed,Indian
elaichi,cardamom,Indian
far far,indian snack,Indian
farfar,indian snack,Indian
far-far,indian snack,Indian
ferney,rice pudding,Indian
firni,rice pudding,Indian
garam,hot,Indian
halawa,dessert,Indian
haldi,turmeric,Indian
haldi,turmeric powder,Indian
halva,dessert,Indian
halvah,dessert,Indian
halwa,dessert,Indian
halwa,dessert,Indian
hing,asafoetida,Indian
huldi,turmeric,Indian
jeera,cumin,Indian
kabab,meat food product,Indian
kabir,south indian vegetable soup,Indian
kabob,meat food product,Indian
kabssah,rice product,Indian
kadhai,pan,Indian
kaju,cashew,Indian
kala jeera,black cumin,Indian
kalonji,black cumin,Indian
karela,bitter melon,Indian
kasoori methi,dried fenugreek leaves,Indian
kasuri methi,dried fenugreek leaves,Indian
kebab,meat food product,Indian
khana,meal,Indian
khatta,sour,Indian
kheer,rice pudding,Indian
khurmi,dates,Indian
klaunji,black cumin,Indian
klonji,black cumin,Indian
kofta,meatball,Indian
kulfi,frozen dairy dessert,Indian
lachha,flatbread,Indian
laichi,cardamom,Indian
lasan,gralic,Indian
lassan,garlic,Indian
magaz,melon seeds,Indian
makhan,white butter,Indian
makhanwala,buttered,Indian
masala,spice mixture,Indian
mathi,Indian snack,Indian
mathiya,Indian snack,Indian
meetha,sweet,Indian
methe,fenugreek,Indian
methi,fenugreek,Indian
mirach,peppers,Indian
mirch,peppers,Indian
namkeen,snack,Indian
nimboo,lemon,Indian
nimboo masala,lemon spice mixture,Indian
nimbu,lemon,Indian
pakwan,food,Indian
palak,spinach,Indian
paneer,Indian cottage cheese,Indian
paneer tikka,cottage cheese food product,Indian
pani puri,Indian snack,Indian
panipure,Indian snack,Indian
panipuree,Indian snack,Indian
panipuri,Indian snack,Indian
parantha,cooked flatbread,Indian
paratha,cooked flatbread,Indian
piaj,onion,Indian
prantha,cooked flatbread,Indian
pulav,cooked rice,Indian
ras malai,Indian dessert,Indian
rasam,south indian vegetable soup,Indian
rasmalai,Indian dessert,Indian
rewadi,sweets,Indian
rossomalai,Indian dessert,Indian
saaru,south indian vegetable soup,Indian
sabji,vegetable,Indian
sambar,lentil curry,Indian
saunf,fennel,Indian
sawayan,vermicelli dessert,Persian
sev,Indian snack,Indian
sev stick,Indian snack,Indian
Sewian,vermicelli dessert,Persian
sheer,milk,Persian
sheer khorma,milk with dates,Persian
sheer khurma ,milk with dates,Persian
soba,buckwheat,Indian
tako yaki,takoyaki,Japanese
tandoor,clay oven,Indian
tandoori,clay oven dish,Indian
tiramisu,dessert,
tofu,bean curd,
toor,pigeon pea ,Indian
toovar,pigeon pea ,Indian
tovar,pigeon pea ,Indian
tulsi,basil,Indian
tur,pigeon pea ,Indian
vindaloo,spicy curry dish,Indian
zeera,cumin,Indian
queso blanco,queso blanco cheese,
queso fresco,white cheese,
tahina,sesame seed paste ,
tahini,sesame seed paste ,
tehina,sesame seed paste ,
tehineh,sesame seed paste ,
barbus chola,freshwater fish,
cha om,acacia,
da bu cha,herbal tea,
dahon ng saging,banana leaf,
