abcess,abscess,biosample,,,,,,
acracas,carcass,biosample,,,,,,
ainse,anise,biosample,,,oppossum,,,
ajwam,ajwain,biosample,,,,,,
aligator,alligator,biosample,,,,,,
all in on,all in one,biosample,,,,mus moluscus,mus musculus,food
anis,anise,biosample,,,,,,
aniseed,anise seed,biosample,,,,,,
annato,annatto,biosample,,,,,,
avacado,avocado,biosample,,,,,,
avocaco,avocado,biosample,,,,,,
avocodo,avocado,biosample,,,,,,
beast,breast,biosample,,,,,,
caguht,caught,biosample,,,,,,
canius lupus,canus lupus,biosample,,,,,,
cantelope,cantaloupe,biosample,,,,,,
cantoloupes,cantaloupe,biosample,,,,,,
carcasse,carcass,biosample,,,,,,
carcus,carcass,biosample,,,,,,
catfood,cat food,biosample,,,,,,
cerasse,cerasee,biosample,,,,,,
chichen,chicken,biosample,,,,,,
chiken,chicken,biosample,,,,,,
chikn,chicken,biosample,,,,,,
chile,chili,biosample,,,,,,
chilli,chili,biosample,,,,,,
chillie ,chili,biosample,,,,,,
chillies,chili,biosample,,,,,,
chilliy,chili,biosample,,,,,,
chilly,chili,biosample,,,,,,
chily,chili,biosample,,,,,,
clarius,clarias,biosample,,,,,,
cloacalswab,cloacal swab,biosample,,,,,,
colostrium,clostridium,biosample,,,,,,
cornsnake,corn snake,biosample,,,,,,
corriander,coriander,biosample,,,,,,
corriender,coriander,biosample,,,,,,
crabcake,crab cake,biosample,,,,,,
crabmeat,crab meat,biosample,,,,,,
croquet,croquette,biosample,,,,,,
cucmber,cucumber,biosample,,,,,,
culantro,cliantro,biosample,,,,,,
desicated,desiccated,biosample,,,,,,
envirnoment,environment,biosample,,,,,,
environemnet,environment,biosample,,,,,,
environemnt,environment,biosample,,,,,,
escargo,escargot,biosample,,,,,,
fallus,gallus,biosample,,,,,,
feaces,faeces,biosample,,,,,,
felien,feline,biosample,,,,,,
flatbread,flat bread,biosample,,,,,,
flaxseed,flax seed,biosample,,,,,,
gobi,goby,biosample,,,,,,
