Bucket,Ontology ID,IFSAC class,,,,,,,,
animal,FOODON_00003004,animal,,,,,,,,
invertebrate animal,FOODON_00002452,animal,,needed because envo is missing its correct parents,,,,,,
vertebrate animal food product,FOODON_00001092,animal,,,,,,,,
vertebrate animal,FOODON_03411297,animal,,needed because envo is missing its correct parents,,,,,,
invertebrate animal food product,FOODON_00001176,animal,,,,,,,,
animal feed,ENVO_02000047,animal feed,,,,,,,,
food product for animal,FOODON_03309997,animal feed,,,,,,,,
pet treat,GENEPIO_0001056,animal feed,,,,,,,,
plant feed,ENVO_02000055,animal feed,,,,,,,,
silage,ENVO_00003030,animal feed,,,,,,,,
feather,UBERON_0000022,animal feed,,,,,,,,
meat and bone meal,FOODON_00002738,animal feed,,,,,,,,
pet food (raw),GENEPIO_0001057,animal feed,,,,,,,,
"seafood product 
",FOODON_00001046,aquatic animals,,,,,,,,
seafood salad (food product),FOODON_03308493,aquatic animals;multi-ingredient,,,,,,,,
bean food product,FOODON_00001635,beans,,,,,,,,
carob food product,FOODON_00002400 ,beans,,,,,,,,
beef food product,FOODON_00001041,beef,,,,,,,,
bovine meat food product,FOODON_00001134,beef,,,,,,,,
bovine,FOODON_03414374,beef,,,,,,,,
chicken,FOODON_03411457,chicken,,,,,,,,
chicken meat food product,FOODON_00001040,chicken,,,,,,,,
gallus gallus,NCBITaxon_9031,chicken,,,,,,,,
chicken vegetable soup,FOODON_03310946,chicken,,,,,,,,
chicken salad food product,FOODON_00001727,chicken;multi-ingredient,,,,,,,,
feces,UBERON_0001988,clinical/research,,,,,,,,
blood,UBERON_0000178,clinical/research,,,,,,,,
chemical entity,CHEBI_24431,clinical/research,,,,,,,,
fertilizer,CHEBI_33287,clinical/research,,,,,,,,
fecal material,ENVO_00002003,clinical/research,,,,,,,,
bodily fluid material,ENVO_02000019,clinical/research,,,,,,,,
blood material,ENVO_02000020,clinical/research,,,,,,,,
Swab,NCIT_C17627,clinical/research,,,,,,,,
organism substance,UBERON_0000463,clinical/research,,,,,,,,
anatomical structure,UBERON_0000061,clinical/research,,,,,,,,
anatomical system,UBERON_0000467,clinical/research,,,,,,,,
anatomical entity,UBERON_0001062,clinical/research,,,,,,,,
anatomical wall,UBERON_0000060,clinical/research,,,,,,,,
anatomical junction,UBERON_0007651,clinical/research,,,,,,,,
bodily fluid,UBERON_0006314,clinical/research,,,,,,,,
excreta,UBERON_0000174,clinical/research,,,,,,,,
necropsy,mmo_0000344,clinical/research,,,,,,,,
canis lupus familiaris,NCBITaxon_9615,companion animal,,,,,,,,
felis catus,NCBITaxon_9685,companion animal,,,,,,,,
dog,FOODON_03414847,companion animal,,,,,,,,
cat,NCIT_C14191,companion animal,,,,,,,,
canis,NCBITaxon_9611,companion animal,,,,,,,,
bos taurus,NCBITaxon_9913,cow,,,,,,,,
calf meat food product,FOODON_00001678,cow,,,,,,,,
bovine,FOODON_03414374,cow,,,,,,,,
crustacean food product,FOODON_00001792,crustaceans,,,,,,,,
crustacean,FOODON_03411374,crustaceans,,,,,,,,
dairy food product,FOODON_00001256,dairy,,,,,,,,
dairy dessert food product,FOODON_00001800,dairy,,,,,,,,
dairy,ENVO_00003862,dairy,,,,,,,,
milk,UBERON_0001913,dairy,,,,,,,,
cheese sandwich,FOODON_03312036,dairy;multi-ingredient,,,,,,,,
food supplement form,FOODON_03430154,dietary supplement,,,,,,,,
dietary supplement,FOODON_03401298,dietary supplement,,,,,,,,
food supplement food product,FOODON_00001874,dietary supplement,,,,,,,,
kratom,FOODON_00002895,dietary supplement,,,,,,,,
dietary or therapeutic formulation food product,FOODON_00001809,dietary supplement,,,,,,,,
infant formula,FOODON_03303130,dietary supplement,,,,,,,,
egg or egg component,FOODON_03420194,eggs,,,,,,,,
egg food product,FOODON_00001274,eggs,,,,,,,,
egg yolk,UBERON_0007378,eggs,,,,,,,,
egg salad sandwich,FOODON_03307770,eggs;multi-ingredient,,,,,,,,
hen egg salad,FOODON_03304628,eggs;multi-ingredient,,,,,,,,
seafood product analog,FOODON_00002229 ,engineered seafood,,,,,,,,
fish food product analog,FOODON_00001854 ,engineered seafood,,,,,,,,
environment sample,GENEPIO_0001246,environmental,,,,,,,,
environmental feature,ENVO_00002297,environmental,,,,,,,,
environmental material,ENVO_00010483,environmental,,,,,,,,
fertilizer,CHEBI_33287,environmental,,,,,,,,
environmental (swab or sampling),GENEPIO_0001732,environmental,,,,,,,,
animal manure,ENVO_00003031,environmental,,,,,,,,
