Default Food Biosample Bucket Set,Ontology Id,(Not-IFSAC) ,,,,,,,,,,,,
biological sex,PATO_0000047,(Not-IFSAC) Biological Sex,,,,,,,,,,,,
chemical entity,CHEBI_24431,(Not-IFSAC) Chemical Entity,,EthnicQuality,CandidateBucket1,,,,,,,,,
built environment ,ENVO_00000070 ,(Not-IFSAC) Bulit Environment,,pathogen,CandidateBucket2,,organism,,,,,,,
environmental feature,ENVO_00002297,(Not-IFSAC) Environmental Feature,,Portion_FoodOrOther,CandidateBucket3,,,,,,,,,
food material,FOODON_00002403,(Not-IFSAC) Food Material,,numerical data value,OBCS_0000193,,,,,,,,,
anatomical entity,UBERON_0001062,(Not-IFSAC) Anatomical Entity,,food product by consumer group,,,,,,,,,,
organism,OBI_0100026,(Not-IFSAC) Organism,,organism kingdom,,"bacteria, fungi etc...",,,,,,,,
quality,PATO_0000001 ,(Not-IFSAC) Quality,,organism typing,"(serovar, antogen etc.)",,,,,,,,,400
process,BFO_0000015,(Not-IFSAC) Process,,food consumer group,"(animal feed, human feed)",,,,,,,,,
environmental material,ENVO_00010483,(Not-IFSAC) Environmental Material,,,,,,,,,,,,
food product by consumer group,FOODON_00002147,(Not-IFSAC) Food Product - By Consumer Group,,,,,,,,,,,,
food material (vide food product type),FOODON_03400361,(Not-IFSAC) Food Material,,,,,,,,,,,,
human exposure event - location,GENEPIO_0001274,(Not-IFSAC) Location,,,,,,,,,,,,
ethnic group,EFO_0001799,(Not-IFSAC) Ethnic Group,,,,,,,,,,,,
