Synonym,Standard Term,Term Id,Synonyms Type
Kanadi kingfish,Scomberomorus plurilineatus,NCBITaxon_1003799,Exact Synonym
muskrat,Ondatra zibethicus,NCBITaxon_10060,Exact Synonym
Cabinza grunt,Isacia conceptionis,NCBITaxon_1010792,Exact Synonym
angular roughshark,Oxynotus centrina,NCBITaxon_1016941,Exact Synonym
angular rough shark,Oxynotus centrina,NCBITaxon_1016941,Exact Synonym
ume,Prunus mume,NCBITaxon_102107,Exact Synonym
Japanese apricot,Prunus mume,NCBITaxon_102107,Exact Synonym
winter melon,Benincasa hispida,NCBITaxon_102211,Exact Synonym
wax gourd,Benincasa hispida,NCBITaxon_102211,Exact Synonym
ash gourd,Benincasa hispida,NCBITaxon_102211,Exact Synonym
horned octopus,Eledone cirrhosa,NCBITaxon_102876,Exact Synonym
curled octopus,Eledone cirrhosa,NCBITaxon_102876,Exact Synonym
North Pacific krill,Euphausia pacifica,NCBITaxon_102976,Exact Synonym
muscadine,Vitis rotundifolia,NCBITaxon_103349,Exact Synonym
fox grape,Vitis rotundifolia,NCBITaxon_103349,Exact Synonym
Concord grape,Vitis labrusca,NCBITaxon_103355,Exact Synonym
tiger frog,Hoplobatrachus tigerinus,NCBITaxon_103373,Exact Synonym
Indus valley bullfrog,Hoplobatrachus tigerinus,NCBITaxon_103373,Exact Synonym
kuri,Castanea crenata,NCBITaxon_103480,Exact Synonym
Japanese chestnut,Castanea crenata,NCBITaxon_103480,Exact Synonym
longfin inshore squid,Doryteuthis pealeii,NCBITaxon_1051067,Exact Synonym
yusura-ume,Prunus tomentosa,NCBITaxon_105667,Exact Synonym
mao ying tao,Prunus tomentosa,NCBITaxon_105667,Exact Synonym
downy cherry,Prunus tomentosa,NCBITaxon_105667,Exact Synonym
lemon sole,Microstomus kitt,NCBITaxon_106175,Exact Synonym
shan jing zi,Malus baccata,NCBITaxon_106549,Exact Synonym
prickly-pears,Opuntia,NCBITaxon_106975,Exact Synonym
