Ontology ID,IFSAC class,Bucket,,
FOODON_00003004,animal,animal,,
FOODON_00002452,animal,invertebrate animal,,needed because envo is missing its correct parents
FOODON_00001092,animal,vertebrate animal food product,,
FOODON_03411297,animal,vertebrate animal,,needed because envo is missing its correct parents
FOODON_00001176,animal,invertebrate animal food product,,
ENVO_02000047,animal feed,animal feed,,
FOODON_03309997,animal feed,food product for animal,,
GENEPIO_0001056,animal feed,pet treat,,
ENVO_02000055,animal feed,plant feed,,
ENVO_00003030,animal feed,silage,,
UBERON_0000022,animal feed,feather,,
FOODON_00002738,animal feed,meat and bone meal,,
GENEPIO_0001057,animal feed,pet food (raw),,
FOODON_00001046,aquatic animals,"seafood product 
",,
FOODON_03308493,aquatic animals;multi-ingredient,seafood salad (food product),,
FOODON_00001635,beans,bean food product,,
FOODON_00002400 ,beans,carob food product,,
FOODON_00001041,beef,beef food product,,
FOODON_00001134,beef,bovine meat food product,,
FOODON_03414374,beef,bovine,,
FOODON_03411457,chicken,chicken,,
FOODON_00001040,chicken,chicken meat food product,,
NCBITaxon_9031,chicken,gallus gallus,,
FOODON_03310946,chicken,chicken vegetable soup,,
FOODON_00001727,chicken;multi-ingredient,chicken salad food product,,
UBERON_0001988,clinical/research,feces,,
UBERON_0000178,clinical/research,blood,,
CHEBI_24431,clinical/research,chemical entity,,
CHEBI_33287,clinical/research,fertilizer,,
ENVO_00002003,clinical/research,fecal material,,
ENVO_02000019,clinical/research,bodily fluid material,,
ENVO_02000020,clinical/research,blood material,,
NCIT_C17627,clinical/research,Swab,,
UBERON_0000463,clinical/research,organism substance,,
UBERON_0000061,clinical/research,anatomical structure,,
UBERON_0000467,clinical/research,anatomical system,,
UBERON_0001062,clinical/research,anatomical entity,,
UBERON_0000060,clinical/research,anatomical wall,,
UBERON_0007651,clinical/research,anatomical junction,,
UBERON_0006314,clinical/research,bodily fluid,,
UBERON_0000174,clinical/research,excreta,,
mmo_0000344,clinical/research,necropsy,,
NCBITaxon_9615,companion animal,canis lupus familiaris,,
NCBITaxon_9685,companion animal,felis catus,,
FOODON_03414847,companion animal,dog,,
NCIT_C14191,companion animal,cat,,
NCBITaxon_9611,companion animal,canis,,
NCBITaxon_9913,cow,bos taurus,,
FOODON_00001678,cow,calf meat food product,,
FOODON_03414374,cow,bovine,,
FOODON_00001792,crustaceans,crustacean food product,,
FOODON_03411374,crustaceans,crustacean,,
FOODON_00001256,dairy,dairy food product,,
FOODON_00001800,dairy,dairy dessert food product,,
ENVO_00003862,dairy,dairy,,
