Token,Tag,Note,Should always be ordered by Tag in ascending order(or any order) and then by Token in descending order
wild fish,wild animal,,
wild bird,wild animal,,
reptile,wild animal,,
pogona,wild animal,,
girrafe,wild animal,,
corn snake,wild animal,,
bearded dragon,wild animal,,
amphibian,wild animal,,
veggie booty,vegetables,,
vegetable,vegetables,,
raw product greens,vegetables,,
spear vegetable,vegetable row crops (stem),,
rhizome,vegetable row crops (stem),,
ukazi,vegetable row crops (leafy),,
raw romaine,vegetable row crops (leafy),,
plant leaf,vegetable row crops (leafy),,
lettuce,vegetable row crops (leafy),,
leafy vegetable,vegetable row crops (leafy),,
frozen pennywort juice,vegetable row crops (leafy),,
plant stem,vegetable row crops (flower),,
broccosprouts,vegetable row crops (flower),,
raw shonghai bott choy,vegetable row crops,,
cabbage,vegetable row crops,,
turkey,turkey,,
river tamarind,tropical fruit,,
pineapple,tropical fruit,,
papaya,tropical fruit,,
mango,tropical fruit,,
fresh guaje,tropical fruit,,
banana,tropical fruit,,
whole pit fruit,sub-tropical fruit,,
tangerine,sub-tropical fruit,,
pomegranate,sub-tropical fruit,,
persimmon,sub-tropical fruit,,
orange,sub-tropical fruit,,
lychee,sub-tropical fruit,,
lemon,sub-tropical fruit,,
kumquat,sub-tropical fruit,,
grapefruit,sub-tropical fruit,,
fig,sub-tropical fruit,,
date,sub-tropical fruit,,
avocado,sub-tropical fruit,,
stone fruit,stone fruit,,
sprout,sprouts,,
strawberry,small fruit,,
raspberry,small fruit,,
kiwifruit,small fruit,,
grape,small fruit,,
cranberry,small fruit,,
blueberry,small fruit,,
blackberry,small fruit,,
shellfish,shellfish,,
seed,seeds,,
plant seed,seeds,,
zucchini,seeded vegetables (vine-grown),,
solanaceous,seeded vegetables (solanaceous),,
red pear tomato,seeded vegetables (solanaceous),,
plum grape tomato,seeded vegetables (solanaceous),,
grape tomato,seeded vegetables (solanaceous),,
chili,seeded vegetables (solanaceous),,
capsicum powder,seeded vegetables (solanaceous),,
okra vegetable,seeded vegetables (other),,
corn,seeded vegetables (other),,
legume,seeded vegetables (legumes),,
yam,root/underground (tubers),,
potato,root/underground (tubers),,
carrot,root/underground (roots),,
beet,root/underground (roots),,
