FOODON_03541193,11930 - soyabeans and similar- (efsa foodex2),
FOODON_03316890,fruit (quick-frozen),
FOODON_03541874,18740 - canned or jarred cranberry (efsa foodex2),
FOODON_03540083,00830 - sorghum flour (efsa foodex2),
FOODON_03308787,witch flounder (raw),
FOODON_03307491,evaporated skim milk,
FOODON_03542513,"25130 - prawn, northern (efsa foodex2)",
FOODON_03316217,jelly (marmalade),
FOODON_03413176,o-phenyl phenol (food source),
FOODON_03304814,mountain water (food product),
FOODON_03304045,white pepper (ground),
FOODON_03306354,pecan roll,
FOODON_03542113,21130 - pancetta (efsa foodex2),
FOODON_03317408,"fats and oils, nonemulsified",
NCBITaxon_65351,Lepidium campestre,
NCBITaxon_37176,Ovibos moschatus,
FOODON_03414234,jewish plum plant (food source),
FOODON_03305665,imitation ice cream mix,
FOODON_03316922,egg white mass (quick-frozen),
BFO_0000002,continuant,
FOODON_03414284,muskmallow plant (food source),
CHEBI_23341,cobamides,
FOODON_03543107,31070 - almond oil (efsa foodex2),
FOODON_03411061,"phaseolus vulgaris, edible seed cultivar (plant) (food source)",
FOODON_03309559,sauce for meat,
FOODON_03414338,aniseed myrtle plant (food source),
FOODON_03540762,07620 - sea lettuce (efsa foodex2),
GAZ_00003171,Commonwealth of Virginia,
FOODON_03543123,31230 - buffalo tallow (efsa foodex2),
NCBITaxon_37052,Ardenna grisea,
FOODON_03309600,mint candy (artificially sweetened),
FOODON_03303188,corn grits (enriched),
FOODON_03544204,42040 - blackberry flavour (efsa foodex2),
FOODON_03303364,cayenne pepper (ground),
CHEBI_67265,beta-diketone,
FOODON_03401700,10006348 - other melons (gs1 gpc),
FOODON_03302897,whipped cream,
FOODON_03303162,creme-filled cookie,
FOODON_03310988,peanut flour-coated,
FOODON_03543903,39030 - beans and vegetables meal (efsa foodex2),
FOODON_03540845,08450 - salad burnet (efsa foodex2),
NCBITaxon_3908,Vicia sativa,
FOODON_03310656,peanut butter (low calorie),
FOODON_03541716,17160 - wingedstem passionflower fruits (efsa foodex2),
FOODON_03308354,rock lobster tail (frozen),
NCBITaxon_271942,Trachurus novaezelandiae,
NCBITaxon_134615,Alepocephalidae,
FOODON_00001617,artichoke vegetable food product,
FOODON_03303047,pasteurized process cheese spread,
FOODON_03315014,spices seasonings and flavorings (deprecated),
FOODON_03304535,second clears,
NCBITaxon_4675,Curculigo,
FOODON_03311037,skim milk condensed,
FOODON_03306406,orange jelly marmalade,
FOODON_00002258,soup mix product,
FOODON_03307606,chocolate-flavored mint sandwich cookie,
FOODON_00001716,chemical sweetener product,
FOODON_03460259,rehydration process,
GAZ_00005246,Pakistan,
CHEBI_26079,phosphoric acid derivative,
FOODON_03544437,44370 - glazing agent (efsa foodex2),
NCBITaxon_443792,Lotella rhacina,
FOODON_03401555,10006032 - morels (gs1 gpc),
FOODON_03311634,kale greens canned,
FOODON_03311266,stripetail rockfish (raw),
FOODON_03542601,26010 - insects and arachnids (including species only consumed outside eu) (efsa foodex2),
CHEBI_15674,"2,3-dihydroxybutanedioic acid",
FOODON_03542489,24890 - danube crayfish (efsa foodex2),
FOODON_03306322,"apple jelly (mint-flavored, mint leaves added)",
FOODON_00002195,redfish perch food product,
FOODON_03308405,"fish fillet (breaded, precooked)",
FOODON_03543535,35350 - plantain infusion leaves (efsa foodex2),
FOODON_03414854,wuchang bream (food source),
FOODON_03312036,"sandwich, various types with cheese",
FOODON_03400791,fresh or processed egg (eurofir),
FOODON_03415060,myrtle plant (food source),
FOODON_03414584,alphaproteobacteria (food source),
FOODON_03543624,36240 - lime infusion flowers and similar- (efsa foodex2),
FOODON_03544278,42780 - green tea flavour (efsa foodex2),
FOODON_03414210,small cranberry plant,
FOODON_03460272,margarine added (deprecated),
FOODON_03301615,sardine (canned),
FOODON_03310040,lupine seed meal (food product),
FOODON_03413408,canihua plant (food source),
CHEBI_22390,alpha-D-glucoside,
FOODON_03540245,02450 - sponge biscuits (efsa foodex2),
FOODON_03420293,fruit core (anatomical part),
FOODON_03413576,river crayfish (food source),
FOODON_03316773,buttermilk chocolate,
FOODON_03304365,confectioner's sugar with dextrose (food product),
FOODON_03412441,crocodile (food source),
FOODON_03510034,reduced energy food,
FOODON_03414937,spine gourd plant (food source),
FOODON_03490182,aluminum container,
FOODON_03303013,turkey pot pie (frozen),
FOODON_03541203,12030 - pima cotton seeds (efsa foodex2),
FOODON_03543014,"30140 - honey, blended (efsa foodex2)",
NCBITaxon_102976,Euphausia pacifica,
NCBITaxon_205567,Solanum muricatum,
NCBITaxon_117924,Centrophoridae,
FOODON_03542968,29680 - hen egg yolk (efsa foodex2),
PATO_0002300,increased quality,
FOODON_03312035,bread product,
FOODON_03308408,abalone (canned),
FOODON_03301345,gefilte fish,
FOODON_03413067,citric acid esters of mono- and diglycerides of fatty acids (food source),
FOODON_03302836,chocolate-flavored topping (sweetened with sorbitol),
FOODON_03311045,nonfat dry milk reconstituted,
FOODON_03310895,salami (smoked),
FOODON_03301911,"beverage (nonalcoholic, naturally effervescent)",
FOODON_03413450,amphidromous fish (food source),
FOODON_03530197,fat content 31-45%,
FOODON_03301514,cheese (unpasteurized),
NCBITaxon_183652,Peprilus,
FOODON_03303449,rice italian-style canned,
ancestro_0487,Indian,
FOODON_03543244,"32440 - juice concentrate, strawberry (efsa foodex2)",
NCBITaxon_99038,Glebionis coronaria,
FOODON_03311809,sausage crumbles with salami flavoring frozen,
FOODON_03541380,13800 - cardamom fruit (efsa foodex2),
FOODON_03305300,fruit juice diluted noncarbonated,
FOODON_03309292,inconnu (raw),
FOODON_03317582,sage derby cheese,
FOODON_00001150,cucurbit fruit food product,
FOODON_03411108,cherry salmon (food source),
FOODON_03311418,soft candy,
FOODON_03303126,"pineapple (immature, raw)",
FOODON_03311472,mitsumame (jelly cube),
NCBITaxon_81953,Agamidae,
FOODON_03301673,shrimp (whole or parts),
FOODON_03315121,"egg product (hard, cooked, cylindrical, possessing egg white with inner core of yolk)",
FOODON_03316243,"spread, low fat",
FOODON_03540847,08470 - maori dock (efsa foodex2),
FOODON_03401398,50340000 - nuts/seeds - unprepared/unprocessed (shelf stable) (gs1 gpc),
FOODON_03306880,duck (processed),
NCBITaxon_26468,Loganiaceae,
NCBITaxon_8007,Esociformes,
FOODON_00001326,pla-som,
FOODON_03400756,055  dried fruits (df) (ccpr),
FOODON_03303186,blackberry juice (food product),
FOODON_03316247,"ice, edible, water-based",
CHEBI_51082,nitrate salt,
FOODON_03414748,aponogeton plant (food source),
FOODON_03411341,seal family (food source),
FOODON_03310597,onion flake (dried),
NCBITaxon_38851,Gentiana lutea,
FOODON_03414355,tankan mandarin plant (food source),
FOODON_03414840,blue mallee plant (food source),
NCBITaxon_7848,Lamna,
FOODON_03414542,golden chanterelle (food source),
NCBITaxon_22063,Monimiaceae,
NCBITaxon_3511,Quercus,
NCBITaxon_360519,Metanephrops thomsoni,
GAZ_00002478,Lebanon,
FOODON_03306772,cream pie made with synthetic topping or filling,
FOODON_03544292,42920 - hot flavour (efsa foodex2),
FOODON_03543802,38020 - dietary foods for special medical purposes (efsa foodex2),
FOODON_03412859,emperor (food source),
FOODON_03541485,14850 - medlars and similar- (efsa foodex2),
FOODON_03301832,popcorn (unpopped),
FOODON_03306168,fruit juice drink (diluted),
FOODON_03307487,skim milk (calcium-reduced),
FOODON_03307680,"coffee (instant, dried dairy product added)",
FOODON_03310969,"pork shoulder (cooked, cured)",
FOODON_03304856,japanese black tea (dry),
FOODON_03541202,12020 - cotton seeds (efsa foodex2),
FOODON_03541752,17520 - mangosteens (efsa foodex2),
FOODON_03540909,09090 - epazote (efsa foodex2),
FOODON_03414931,winged pea plant (food source),
FOODON_03540499,"04990 - sprouts, shoots and similar (efsa foodex2)",
FOODON_03301469,bouillon cube,
FOODON_03414965,plumcot plant (food source),
FOODON_03311084,"soft drink mix, unsweetened, powdered",
FOODON_03530252,external fat trimmed to 1/8 inch,
FOODON_03530082,processed in glass container,
FOODON_03543446,34460 - tea powder ingredients and extracts (efsa foodex2),
NCBITaxon_111111,Melophorus,
FOODON_03401688,10005833 - beef sausages - prepared/processed (gs1 gpc),
FOODON_03308018,shark flake,
FOODON_03308330,maine sardine packed in oil,
FOODON_03542669,26690 - equine milk (efsa foodex2),
FOODON_00001320,pak kum dong,
FOODON_03305888,crabapple jelly,
NCBITaxon_303943,Carcharhinus signatus,
FOODON_03543868,38680 - fish and rice meal (efsa foodex2),
FOODON_03543267,32670 - well water (efsa foodex2),
CHEBI_48857,sulfite salt,
NCBITaxon_42892,Engraulis japonicus,
FOODON_03310817,cow buttermilk (raw),
FOODON_03400296,seafood-based sausage or luncheon meat (us cfr),
FOODON_03401873,10005915 - plumcots (gs1 gpc),
FOODON_03411791,pacific bonito (food source),
FOODON_03420220,cellulose (deprecated),
FOODON_03315930,preserves of red fruits,
FOODON_03303853,gruenland cheese,
FOODON_03301407,quail egg (pickled),
FOODON_03510227,coriander and products thereof,
FOODON_03413809,"fish, osmeriform (food source)",
FOODON_03412787,natal orange plant (food source),
FOODON_00001577,akee fruit food product,
FOODON_03530109,home prepared,
FOODON_03316862,mozzarella cheese low moisture,
FOODON_03413599,siboga lobster (food source),
FOODON_03316752,cheese (gudbrandsdalsost),
ancestro_0416,Montserratian,
FOODON_03412071,white cabbage plant (food source),
NCBITaxon_662062,Paratrachichthys trailli,
FOODON_03302995,camembert cheese,
FOODON_03305764,green tomato juice,
FOODON_03412421,chinese kale plant (food source),
FOODON_03411533,european filbert plant (food source),
CHEBI_2877,aspartame,
NCBITaxon_99302,Strychnos spinosa,
NCBITaxon_41711,Osmeriformes,
FOODON_03543909,39090 - vegetable casserole (efsa foodex2),
FOODON_03412836,soapberry plant (food source),
FOODON_03304628,egg salad,
FOODON_03304629,wheat flour (starch-reduced),
CHEBI_36359,phosphorus oxoacid derivative,
FOODON_03308918,blue runner fillet (raw),
FOODON_03542460,24600 - requiem shark (efsa foodex2),
FOODON_03308437,gulf sardine (raw),
FOODON_03301881,liver (chopped),
FOODON_03543976,"39760 - rice, fish/seafood and vegetable based dishes (efsa foodex2)",
FOODON_03302475,milk and honey bread,
FOODON_03401619,10005767 - beef - prepared/processed (gs1 gpc),
FOODON_03302504,vegetable butter,
FOODON_00002248,sockeye salmon food product,
FOODON_03401531,10005827 - dairy based products / meals - not ready to eat/drink (frozen) (gs1 gpc),
FOODON_03540461,04610 - water mimosas (efsa foodex2),
FOODON_03413797,baker's yeast (food source),
FOODON_03301608,konjacu flour,
CHEBI_37586,sodium phosphate,
FOODON_03401449,10005922 - wood strawberries (gs1 gpc),
NCBITaxon_1110380,Polygonoideae,
NCBITaxon_171637,Maloideae,
FOODON_03414535,horse mushroom (food source),
FOODON_03413501,golden perch (food source),
NCBITaxon_558553,Crassostrea angulata,
FOODON_03510075,rich in fiber claim or use,
FOODON_03413157,monoammonium glutamate (food source),
FOODON_03311072,"wheat (whole grain, red winter)",
FOODON_03414339,kaffir lime plant (food source),
FOODON_03311452,"breakfast cereal (hot-type, instant, aspartame sweetened)",
FOODON_03401624,10005771 - duck - prepared/processed (gs1 gpc),
FOODON_03302950,maraschino cherry (artificially colored and flavored),
FOODON_03311810,pepperoni flavored sausage,
FOODON_03302986,"longhorn cheddar cheese (semisoft, part-skim)",
NCBITaxon_33129,Phaseolus acutifolius,
FOODON_03304722,egg white (frozen),
FOODON_03415105,red amaranth plant (food source),
FOODON_03415073,prostrate knotweed plant (food source),
FOODON_03411067,lime (citrus) plant (food source),
FOODON_03302541,candy corn,
FOODON_00002238,cocos fruit product,
FOODON_03543164,"31640 - juice, orange-grapefruit (efsa foodex2)",
FOODON_00001970,imitation nonalcoholic beverage,
FOODON_03401477,10006004 - elephant garlic (gs1 gpc),
FOODON_03541307,13070 - fennel seed and similar- (efsa foodex2),
FOODON_03311069,"orange juice product, not further specified",
FOODON_03309645,starry flounder (raw),
NCBITaxon_191678,Lophius budegassa,
FOODON_03306765,coconut cream pie,
FOODON_03415159,forking larkspur plant (food source),
FOODON_03310701,bluefin tuna (canned),
FOODON_03530189,fat content >= 3.5%,
FOODON_03303517,pasteurized process cheese food,
FOODON_03414203,blessed milkthistle plant (food source),
FOODON_03303951,papaya preserves (food product),
FOODON_03543652,"36520 - angelica root, dry (efsa foodex2)",
FOODON_00001042,bovine milk beverage,
FOODON_03309016,"albacore (solid-pack, canned)",
FOODON_03413639,frilled venus (food source),
FOODON_03542052,"20520 - animal edible offal, non-muscle, other than liver and kidney (efsa foodex2)",
FOODON_00001604,animal product sandwich category,
FOODON_03305789,strawberries in vanilla ice cream,
FOODON_03311302,purple plum raw,
FOODON_03541955,"19550 - wild boar, minced meat (efsa foodex2)",
NCBITaxon_428033,Atheresthes,
CHEBI_35875,imidazopyrimidine,
NCBITaxon_81641,Lotidae,
FOODON_03542890,"28900 - cheese, samsoe (efsa foodex2)",
NCBITaxon_165789,Capsicum annuum var. glabriusculum,
CHEBI_24860,iodine molecular entity,
NCBITaxon_3602,Vitaceae,
FOODON_03412694,brownspotted rockcod (food source),
FOODON_03541581,15810 - jostaberries (efsa foodex2),
FOODON_03316630,"dessert, powdered topping",
FOODON_03400996,50101900 - fruit/nuts/seeds combination (gs1 gpc),
FOODON_00002271,squash vegetable food product,
FOODON_03316270,milk-based product with non-fruit preparations calorie reduced,
FOODON_03540360,03600 - lettuces and salad plants (efsa foodex2),
FOODON_03411451,macadamia plant (food source),
FOODON_03311305,cream-type pie (frozen),
FOODON_03530202,"fat content < 50%, > 35% pufa",
FOODON_03490279,"glass container, coloured, light weight",
FOODON_03301268,black olive (raw),
FOODON_03307557,sugar and invert sugar syrup,
FOODON_03412638,konbu (food source),
FOODON_03420255,"organ meat, other systems",
FOODON_03309655,job's tears (food product),
FOODON_03540628,06280 - lentils and similar- (efsa foodex2),
FOODON_03542000,"20000 - deer, fresh fat tissue (efsa foodex2)",
FOODON_03311642,"fat or oil, reclaimed",
FOODON_03308132,crayfish tail (raw),
FOODON_03541662,16620 - ambarellas (efsa foodex2),
FOODON_03413670,west indian fighting conch (food source),
FOODON_03542417,24170 - tuna (efsa foodex2),
FOODON_03309795,tomato catsup substitute (sweetened with honey),
FOODON_03304167,shortening (hydrogenated),
FOODON_03311188,"fish cake (raw, breaded)",
FOODON_03540888,"08880 - other species and hybrids of genus mentha, not elsewhere mentioned (efsa foodex2)",
NCBITaxon_8245,Xiphias gladius,
FOODON_03307204,stuffing for turkey,
NCBITaxon_7832,Echinorhinidae,
FOODON_03411768,labrador redfish (food source),
FOODON_03543980,39800 - nasi goreng (efsa foodex2),
FOODON_03414275,splendid alfonsino (food source),
NCBITaxon_118175,Nettastomatidae,
FOODON_03540177,01770 - pasta wholemeal (efsa foodex2),
FOODON_03311568,nata de coco (deprecated),
UBERON_0007010,cleaving embryo,
FOODON_03412541,mudskipper (food source),
FOODON_03543279,32790 - soft drinks with minor amounts of fruits or flavours (efsa foodex2),
FOODON_03541223,12230 - gold of pleasure seeds (efsa foodex2),
NCBITaxon_102876,Eledone cirrhosa,
FOODON_03540404,04040 - plantain leaves (efsa foodex2),
FOODON_03400904,10000310 - dairy/dairy substitute based drinks - not ready to drink (shelf stable) (gs1 gpc),
FOODON_03544282,42820 - guava flavour (efsa foodex2),
FOODON_03310218,pesto sauce (food product),
FOODON_03412526,spiny eel family (food source),
FOODON_03307868,japanese green tea (dry),
FOODON_03401470,10006118 - swedish turnips (rutabagas) (gs1 gpc),
FOODON_03460293,curing or aging 6 to 12 months,
FOODON_03401335,mushroom dish (eurofir),
FOODON_03311349,asparagus (raw),
FOODON_03316150,"sausage (dried, cured)",
NCBITaxon_4567,Triticum turgidum subsp. durum,
FOODON_03401884,10006458 - sea kale (gs1 gpc),
FOODON_00001728,chicken soup food product,
FOODON_03305123,"chocolate (solid, in a real egg shell)",
FOODON_03540008,00080 - buckwheat and other pseudo-cereals and similar- (efsa foodex2),
NCBITaxon_9774,Sirenia,
FOODON_03500013,"beverage can enamel, carbonated soft drink",
FOODON_03543315,"33150 - soft drink, raspberry flavour (efsa foodex2)",
FOODON_03306457,mule meat (raw),
CHEBI_36360,phosphorus oxoacids and derivatives,
ENVO_01000626,drylot,
FOODON_03301607,konjacu tuber (raw),
FOODON_03310085,sweet and sour onion and raisin relish (food product),
FOODON_03544403,44030 - walnut flavour (efsa foodex2),
NCBITaxon_29019,Litopenaeus stylirostris,
FOODON_03542335,"23350 - halibut, greenland (efsa foodex2)",
FOODON_00002446,donkey food product,
FOODON_03541941,19410 - camel fresh meat (efsa foodex2),
FOODON_03304423,"french dressing (low sodium, sugar-free)",
FOODON_00002296,sweet pea vegetable food product,
FOODON_03401033,10000029 - cheese/cheese substitutes (shelf stable) (gs1 gpc),
FOODON_03401275,0500 poultry products (usda sr),
FOODON_03000005,Indian prawn,
FOODON_03414656,apple berry plant (food source),
FOODON_03490384,amin resin container,
FOODON_00002270,sprat food product,
FOODON_03310546,tea (steeped),
NCBITaxon_83393,Coelorinchus,
FOODON_03400409,filtering aid (codex),
FOODON_03412137,"dogfish shark, herbivorous (food source)",
NCBITaxon_6604,Mya arenaria,
FOODON_03306819,field peas (canned),
FOODON_03414434,4-hexylresorcinol (food source),
NCBITaxon_13353,Auxis thazard,
FOODON_00001024,pickled cabbage food product,
FOODON_03304024,pepino sauce,
FOODON_03401357,50350700 - stem lettuce (gs1 gpc),
CHEBI_33655,aromatic compound,
FOODON_03401242,0610000 - tea (ec),
FOODON_03316918,pastilles,
FOODON_03304531,chocolate malted milk,
GAZ_00003762,Cuba,
NCBITaxon_225387,Ophiodon elongatus,
NCBITaxon_119830,Solanum torvum,
FOODON_03542777,"27770 - cheese, pouligny-saint-pierre (efsa foodex2)",
FOODON_03510131,less label claim,
FOODON_03414192,pale purple cone-flower plant (food source),
FOODON_03307320,crab and lobster paste,
FOODON_03304678,"milk (vitamin d, homogenized)",
FOODON_03510032,dietary use/label claim,
NCBITaxon_26339,Iridaceae,
FOODON_03306130,beverage base (lingonberry),
FOODON_03311818,white rice food product,
FOODON_03306846,papaya drink base (food product),
FOODON_03401762,10005956 - yellow dragonfruits (gs1 gpc),
FOODON_03543131,"31310 - turkey fat, processed (efsa foodex2)",
FOODON_03315149,corn syrup high fructose,
FOODON_03315192,cheese spread pasteurized,
FOODON_03302751,pudding (custard-flavored),
FOODON_03317349,"poultry product (cured, comminuted)",
FOODON_03307282,fruit syrup with alcohol,
CHEBI_36309,cyclic tetrapyrrole,
CHEBI_63409,pentose derivative,
FOODON_03303878,caraway cheese,
ENVO_01000417,house,
FOODON_03542423,24230 - southern bluefin tuna (efsa foodex2),
FOODON_03401013,10000006 - vegetables - unprepared/unprocessed (shelf stable) (gs1 gpc),
FOODON_03413578,ice krill (food source),
FOODON_03530239,ichthyoallyeinotoxic poisoning,
NCBITaxon_3818,Arachis hypogaea,
NCBITaxon_35874,Dioscorea bulbifera,
FOODON_03301298,jordan almond,
FOODON_03414907,canary grass plant (food source),
FOODON_03315447,whale meat (fresh),
FOODON_03411078,globe tomato plant (food source),
FOODON_03543859,38590 - meat terrine (efsa foodex2),
FOODON_03302086,vegetable (dehydrated),
GAZ_00000581,Eritrea,
FOODON_03414790,terminalia plant (food source),
NCBITaxon_50417,Mimachlamys varia,
FOODON_03315977,brown beer oud bruin type,
FOODON_03315768,"cereal product (solid, infant)",
FOODON_00001887,fruit dessert food product,
FOODON_03490292,"aluminium can, drum or barrel, varnished",
NCBITaxon_133890,Xiphopenaeus kroyeri,
FOODON_03306116,lingonberry concentrate,
FOODON_03305082,chocolate-flavored pecan fudge,
FOODON_03400665,17  derived edible products of animal origin (ccpr),
FOODON_03305980,orange juice (chilled),
FOODON_03541452,14520 - kaffir limes (efsa foodex2),
FOODON_03305827,"sweet potato (canned, dehydrated)",
FOODON_03411093,hanasaki crab (food source),
FOODON_03310841,turmeric (ground),
FOODON_00001266,camel milk beverage,
FOODON_03307147,rice (milled),
FOODON_03413557,gulf stone crab (food source),
FOODON_03310772,noodles and cheese,
FOODON_03414019,dogtooth grouper (food source),
NCBITaxon_6752,Brachyura,
FOODON_03543809,38090 - vitamin and mineral supplements (efsa foodex2),
ENVO_00000139,irrigation ditch,
CHEBI_17188,nucleoside 5'-monophosphate,
NCBITaxon_53751,Echinacea purpurea,
FOODON_03308524,sardine in soybean oil (canned),
FOODON_03308402,smelt (frozen),
NCBITaxon_6737,Panulirus argus,
FOODON_03304183,clam (smoked),
FOODON_03302668,wine (canned),
FOODON_03303038,chicken gravy,
NCBITaxon_94240,Psettodes,
FOODON_03541806,"18060 - jam, strawberries (efsa foodex2)",
FOODON_03460256,carbohydrate fermentation process,
FOODON_03414792,arrowgrass plant (food source),
FOODON_03304773,plantain (fried),
NCBITaxon_13106,Lepomis macrochirus,
FOODON_03305196,ginseng tea (dry),
FOODON_03544104,"41040 - continental european brown cooked sauce, gravy (efsa foodex2)",
ECOCORE_00000013,photoautotrophy,
FOODON_03541278,"12780 - tansy and related species, dry (efsa foodex2)",
FOODON_03411435,juneberry plant (food source),
FOODON_03420271,sugar syrup or syrup solids,
