Term,Expansion,Origin
namkeen,snack,Indian
aachar,indian pickle,Indian
aam,mango,Indian
adrak,ginger,Indian
ajwain,Apiaceae,Indian
aloo,potato,Indian
aloo chole,potato and chick peas,Indian
alu,potato,Indian
am chur,mango powder,Indian
amb,mango,Indian
amchur,mango powder,Indian
appam,thin wafer,Indian
ashwagandha,rennet,Indian
ata,flour,Indian
atta,flour,Indian
avial,vegetable curry,Indian
badam,almond,Indian
bagar,spice and herb tempering,Indian
bahare,stuffed,
baklava,dessert,
barbus chola,freshwater fish,
bhelpuri,Indian snack,
bhujia,Indian snack,
bhuna,roasted,
biryani pulav,spiced saffron cooked rice,
calonji,vegetable product,
cha om,acacia,
chai,tea,
chalpata,spicy,
chana,chick pea,
channa,gram,
chatney,sauce,
chilka,roasted gram,
chiwda,snack food,
da bu cha,herbal tea,
dahivada,snack food,
dahon ng saging,banana leaf,
dal,lentil,
dalmoth,lentil,
deggi mirch,chili Powder,
deshi puti,freshwater fish,
dhana jeera,spice mixture,
dhanajeera,spice mixture,
dhanajiru,spice mixture,
dhanajlru,spice mixture,
egusi,melon seed,
far far,indian snack,
farfar,indian snack,
far-far,indian snack,
ferney,rice pudding,
firni,rice pudding,
garam,hot,
halawa,dessert,
halva,dessert,
halwa,dessert,
halwa,dessert,
hing,asafoetida,
kabab,meat food product,
kabob,meat food product,
kabssah,rice product,
kadhai,pan,
kaju,cashew,
kalonji,black cumin,
karela,bitter melon,
kasoori methi,dried fenugreek leaves ,
kasuri methi,dried fenugreek leaves ,
kebab,meat food product,
khatta,sour,
kheer,rice pudding,
khurmi,dates,
kofta,meatball,
kulfi,frozen dairy dessert,
lachha,flatbread,
masala,spice mixture,
meetha,sweet,
misc,miscellaneous,
na,not applicable,
nimboo,lemon,
nimboo masala,lemon spice mixture,
nimbu,lemon,
pakwan,food,
paneer tikka,cheese food,
queso blanco,white cheese,
queso fresco,white cheese,
rasmalai,Indian dessert,
sheer,milk,
tahina,sesame seed paste ,
tahini,sesame seed paste ,
tako yaki,takoyaki,
tandoor,clay oven,
tandoori,clay oven dish,
tehina,sesame seed paste ,
tehineh,sesame seed paste ,
tiramisu,dessert,
tofu,bean curd,
vindaloo,spicy curry dish,
sambar,lentil curry,
tulsi,basil,
palak,spinach,
paneer,Indian cottage cheese,
haldi,turmeric,
huldi,turmeric,
panipure,Indian snack,
pani puri,Indian snack,
panipuree,Indian snack,
panipuri,Indian snack,
paratha,flatbread ,
parantha,flatbread ,
prantha,flatbread ,
makhan,white butter,
makhanwala,buttered,
biryani,spiced saffron cooked rice,
sheer khurma ,vermicelli dessert,
sheer khorma ,vermicelli dessert,
klaunji,black cumin,
klonji,black cumin,
sabji,vegetable,
rasam,south indian vegetable soup,
chaaru,south indian vegetable soup,
saaru,south indian vegetable soup,
kabir,south indian vegetable soup,
pulav,cooked rice,
mathi,Indian snack,
mathiya,Indian snack,
mirch,spice,
ras malai,Indian dessert,
rossomalai ,Indian dessert,
sev,Indian snack,
sev stick,Indian snack,
toor,pigeon pea ,
toovar,pigeon pea ,
arhar,pigeon pea ,
tovar,pigeon pea ,
tur,pigeon pea ,
soba,buckwheat,
bento,meal,Japanese
