Term,Expansion,,Expansion,,Abbreviation,HP_0045077,abbreviation,,,,,,
1pt,HP_0045077,,Abbreviation,,Activity-Procedure,NCIT_C43431,activity,,,,,,
aka,HP_0045077,,Abbreviation,,Additional-Different,,,,,Quality-Grading,,,
BB,HP_0045077,,Abbreviation,,Adjective-Comound,,,,,,,,
bby,HP_0045077,,Abbreviation,,BodyPart-OR-OrganicPart,FOODON_03420116,part of plant or animal,,,Quality-Age,,,
bnl,HP_0045077,,Abbreviation,,Cardinal-Ordinal,,,,,,,,
bott,HP_0045077,,Abbreviation,,Conjunction-Contrast,,,,,Quality-Taste,,,
brie,HP_0045077,,Abbreviation,,Container-Or-Receptacle-Or-Enclosure,NCIT_C43186,container,,,Undecided,,,
cc1,HP_0045077,,Abbreviation,,CoordConjunction-Addition,,,,,Quality-Geo,,,
CC2,HP_0045077,,Abbreviation,,CoordConjunction-Alternative,,,,,Quality-SpeciesRelated,,,
da,HP_0045077,,Abbreviation,,CoordConjunction-Contrast,,,,,Quality-BodyRelated,,,
equu,HP_0045077,,Abbreviation,,CoordConjunction-Effect,,,,,Quality-Shape,,,
ga,HP_0045077,,Abbreviation,,CoordConjunction-Purpose,,,,,Quality-Trait,,,
grd,HP_0045077,,Abbreviation,,DeadBody,UBERON_0008979,carcass,,,Quality-PlantRelated,,,
hircu,HP_0045077,,Abbreviation,,EarthRelated,,,,,Quality-Color,,,
illex,HP_0045077,,Abbreviation,,Equipment-OR-Device-OR-ManmadeObject,,,,,Quality-Size,,,
iraty,HP_0045077,,Abbreviation,,Expansion,,,,,Quality-Position,,,
lox,HP_0045077,,Abbreviation,,Furniture,,,,,,,,
LV,HP_0045077,,Abbreviation,,GeoEntity,,,,,Quality-Texture,,,
mawii,HP_0045077,,Abbreviation,,GeoEntity-OR-Structure-OR-Area,,,,,Quality-Content,,,
md1,HP_0045077,,Abbreviation,,GeographicArea-OR-Related,,,,,,,,
na,HP_0045077,,Abbreviation,,LocationContextual,,,,,Quality-Heat,,,
NP,HP_0045077,,Abbreviation,,Negation,,,,,,,,
nvsl,HP_0045077,,Abbreviation,,Negation-Alternative,,,,,,,,
ovi,HP_0045077,,Abbreviation,,Portion_FoodOrOther,,,,,,,,
pdn,HP_0045077,,Abbreviation,,Preposition-Comound,,,,,,,,
roe,HP_0045077,,Abbreviation,,Preposition-Containment,,,,,,,,Quality-EnvironmentRelated
RT1,HP_0045077,,Abbreviation,,Preposition-HavingOrigin,,,,,Quality-Gender,,,
rt2,HP_0045077,,Abbreviation,,Preposition-Presence,,,,,Quality-Heat-or-Food,,,
sc,HP_0045077,,Abbreviation,,Quality-Age,,,,,,,,
seco,HP_0045077,,Abbreviation,,Quality-BodyRelated,,,,,Quality-Direction,,,Food-Processs
si,HP_0045077,,Abbreviation,,Quality-Color,,,,,Quality-Food,,,
spp.,HP_0045077,,Abbreviation,,Quality-Content,,,,,Quality-Odour,,,
VH1,HP_0045077,,Abbreviation,,Quality-Direction,,,,,,,,
vp,HP_0045077,,Abbreviation,,Quality-Environment,,,,,,,,
buy,Activity-Procedure,,Activity-Procedure,,Quality-Ethnic,,,,,,,,
care,Activity-Procedure,,Activity-Procedure,,Quality-Food,,,,,,,,
clinical,Activity-Procedure,,Activity-Procedure,,Quality-Gender,,,,,,,,
evisceration,Activity-Procedure,,Activity-Procedure,,Quality-Generic,,,qspr,,Quality-Environment,,,
flying,Activity-Procedure,,Activity-Procedure,,Quality-Geo,,,,,,,,
generated,Activity-Procedure,,Activity-Procedure,,Quality-Grading,,,,,,,,
generating,Activity-Procedure,,Activity-Procedure,,Quality-Heat,,,,,,,,
grazing,Activity-Procedure,,Activity-Procedure,,Quality-Heat-or-Food,,,,,,,,
irrigation,Activity-Procedure,,Activity-Procedure,,Quality-Odour,,,,,,,,
manufactured,Activity-Procedure,,Activity-Procedure,,Quality-PlantRelated,,,,,,,,
medical check,Activity-Procedure,,Activity-Procedure,,Quality-Position,,,,,,,,
monitoring,Activity-Procedure,,Activity-Procedure,,Quality-Shape,,,,,,,,
necropsy,Activity-Procedure,,Activity-Procedure,,Quality-Size,,,,,,,,
painting,Activity-Procedure,,Activity-Procedure,,Quality-SpeciesRelated,,,,,,,,
poisoning,Activity-Procedure,,Activity-Procedure,,Quality-State,,,,,,,,
prodcution,Activity-Procedure,,Activity-Procedure,,Quality-Taste,,,,,,,,
producing,Activity-Procedure,,Activity-Procedure,,Quality-Texture,,,,,,,,
program,Activity-Procedure,,Activity-Procedure,,Quality-TimeRelated,,,,,,,,
render,Activity-Procedure,,Activity-Procedure,,Quality-Trait,,,,,,,,
rendering,Activity-Procedure,,Activity-Procedure,,Structure-OR-Area,,,,,,,,
rinse,Activity-Procedure,,Activity-Procedure,,Structure-OR-Area-OR-ManmadeObject,,,,,,,,
rub,Activity-Procedure,,Activity-Procedure,,SubordConjunction-Purpose,,,,,,,,
sale,Activity-Procedure,,Activity-Procedure,,TimeRelated,,,,,,,,
sampling,Activity-Procedure,,Activity-Procedure,,Trademark,,,,,,,,
sell,Activity-Procedure,,Activity-Procedure,,Unit,,,,,,,,
standing,Activity-Procedure,,Activity-Procedure,,WaterBody,,,,,,,,
swimming,Activity-Procedure,,Activity-Procedure,,,,,,,,,,
system,Activity-Procedure,,Activity-Procedure,,,,,,,,,,
travel,Activity-Procedure,,Activity-Procedure,,,,,,,,,,
walking,Activity-Procedure,,Activity-Procedure,,,,,,,,,,
wash,Activity-Procedure,,Activity-Procedure,,,,,,,,,,
miscellaneous,Additional-Different,,Additional-Different,,,,,,,,,,
other,Additional-Different,,Additional-Different,,,,,,,,,,
above,LocationContextual,,LocationContextual,,,,,,,,,,
abyss,LocationContextual,,LocationContextual,,,,,,,,,,
agora,LocationContextual,,LocationContextual,,,,,,,,,,
air corridor,LocationContextual,,LocationContextual,,,,,,,,,,
airfield,LocationContextual,,LocationContextual,,,,,,,,,,
airspace,LocationContextual,,LocationContextual,,,,,,,,,,
alveolus,LocationContextual,,LocationContextual,,,,,,,,,,
artesian well,LocationContextual,,LocationContextual,,,,,,,,,,
at,LocationContextual,,LocationContextual,,,,,,,,,,
back,LocationContextual,,LocationContextual,,,,,,,,,,
beneath,LocationContextual,,LocationContextual,,,,,,,,,,
bergschrund,LocationContextual,,LocationContextual,,,,,,,,,,
beside,LocationContextual,,LocationContextual,,,,,,,,,,
between,LocationContextual,,LocationContextual,,,,,,,,,,
bight,LocationContextual,,LocationContextual,,,,,,,,,,
borehole,LocationContextual,,LocationContextual,,,,,,,,,,
bottom,LocationContextual,,LocationContextual,,,,,,,,,,
caldera,LocationContextual,,LocationContextual,,,,,,,,,,
camber,LocationContextual,,LocationContextual,,,,,,,,,,
campground,LocationContextual,,LocationContextual,,,,,,,,,,
cat flap,LocationContextual,,LocationContextual,,,,,,,,,,
cave,LocationContextual,,LocationContextual,,,,,,,,,,
cavern,LocationContextual,,LocationContextual,,,,,,,,,,
chicane,LocationContextual,,LocationContextual,,,,,,,,,,
clearing,LocationContextual,,LocationContextual,,,,,,,,,,
cleft,LocationContextual,,LocationContextual,,,,,,,,,,
colliery,LocationContextual,,LocationContextual,,,,,,,,,,
combustion chamber,LocationContextual,,LocationContextual,,,,,,,,,,
confines,LocationContextual,,LocationContextual,,,,,,,,,,
courtyard,LocationContextual,,LocationContextual,,,,,,,,,,
crack,LocationContextual,,LocationContextual,,,,,,,,,,
cranny,LocationContextual,,LocationContextual,,,,,,,,,,
crevasse,LocationContextual,,LocationContextual,,,,,,,,,,
crevice,LocationContextual,,LocationContextual,,,,,,,,,,
demarcation,LocationContextual,,LocationContextual,,,,,,,,,,
dog leg,LocationContextual,,LocationContextual,,,,,,,,,,
doorway,LocationContextual,,LocationContextual,,,,,,,,,,
down,LocationContextual,,LocationContextual,,,,,,,,,,
drey,LocationContextual,,LocationContextual,,,,,,,,,,
drive bay,LocationContextual,,LocationContextual,,,,,,,,,,
earhole,LocationContextual,,LocationContextual,,,,,,,,,,
elbow room,LocationContextual,,LocationContextual,,,,,,,,,,
embrasure,LocationContextual,,LocationContextual,,,,,,,,,,
esplanade,LocationContextual,,LocationContextual,,,,,,,,,,
eyelet,LocationContextual,,LocationContextual,,,,,,,,,,
f hole,LocationContextual,,LocationContextual,,,,,,,,,,
field of vision,LocationContextual,,LocationContextual,,,,,,,,,,
fireplace,LocationContextual,,LocationContextual,,,,,,,,,,
firmament,LocationContextual,,LocationContextual,,,,,,,,,,
first base,LocationContextual,,LocationContextual,,,,,,,,,,
fissure,LocationContextual,,LocationContextual,,,,,,,,,,
