Bucket,Ontology ID,IFSAC class,,,,Bucket,Ontology ID,IFSAC class,,,,,
pepper vegetable food product (green or red),FOODON_00002111,Seeded vegetable (Solanaceous),,,,,,,,,,,
seafood product,FOODON_00001046,Aquatic Animals,,,,,,,,,,,
bos taurus,NCBITaxon_9913,,,,,,,,,,,,Bovine_Livestock
dairy,ENVO_00003862,,,,,,,,,,,,Equine_Livestock
environmental material,ENVO_00010483,(Non-IFSAC) Clinical,,,,environmental material,ENVO_00010483,(Non-IFSAC) Clinical,,,,,ND_Livestock
crustacean food product,FOODON_00001792,Crustaceans,,,,crustacean food product,FOODON_00001792,Crustaceans,,,,,Ovine_Livestock
shrimp (food source),FOODON_03411237,Crustaceans,,,,shrimp (food source),FOODON_03411237,Crustaceans,,,,,Swine_Livestock
reptile (food source),FOODON_03411625,Other Animal,,,,reptile (food source),FOODON_03411625,Other Animal,,,,,Canine_Companion Animal
calf meat food product,FOODON_00001678,Calf,,,,calf meat food product,FOODON_00001678,Calf,,,,,Feline_Companion Animal
skim milk (food product),FOODON_03301484,Fluid milk,,,,skim milk (food product),FOODON_03301484,Fluid milk,,,,,ND_Environment
whole milk (food product),FOODON_03306581,Fluid milk,,,,whole milk (food product),FOODON_03306581,Fluid milk,,,,,Plant_Environment
soft cheese food product,FOODON_00002252,Solid/semisolid dairy products,,,,soft cheese food product,FOODON_00002252,Solid/semisolid dairy products,,,,,Soil/Dust_Environment
hard cheese food product,FOODON_00001945,Solid/semisolid dairy products,,,,hard cheese food product,FOODON_00001945,Solid/semisolid dairy products,,,,,Water_Environment
amphibian or reptile food product,FOODON_00002200,Other Animal,,,,amphibian or reptile food product,FOODON_00002200,Other Animal,,,,,Human_Human
cereal grain food product,FOODON_00001093,Grains,,,,cereal grain food product,FOODON_00001093,Grains,,,,,Laboratory_Laboratory
edible seed (food product),FOODON_03304497,Seeds,,,,edible seed (food product),FOODON_03304497,Seeds,,,,,ND_ND
grain based bakery food product,FOODON_00001917,Grains,,,,grain based bakery food product,FOODON_00001917,Grains,,,,,Avian_Poultry
onion food product,FOODON_00002069,Bulbs (Root/Underground vegetables),,,,onion food product,FOODON_00002069,Bulbs (Root/Underground vegetables),,,,,Avian_Animal Feed
garlic food product,FOODON_00001895,Bulbs (Root/Underground vegetables),,,,garlic food product,FOODON_00001895,Bulbs (Root/Underground vegetables),,,,,Bovine_Animal Feed
potato food product,FOODON_00001148,Tubers (Root/Underground vegetables),,,,potato food product,FOODON_00001148,Tubers (Root/Underground vegetables),,,,,Canine_Animal Feed
carrot food product,FOODON_00001687,Root Vegetables,,,,carrot food product,FOODON_00001687,Root Vegetables,,,,,Feline_Animal Feed
beet food product,FOODON_00001638,Root Vegetables,,,,beet food product,FOODON_00001638,Root Vegetables,,,,,Fish_Animal Feed
yam food product,FOODON_00002368,Tubers (Root/Underground vegetables),,,,yam food product,FOODON_00002368,Tubers (Root/Underground vegetables),,,,,ND_Animal Feed
taro food product,FOODON_00002310,Other Root/Underground vegetables,,,,taro food product,FOODON_00002310,Other Root/Underground vegetables,,,,,Ovine_Animal Feed
peanut food product,FOODON_00002099,Nuts,,,,peanut food product,FOODON_00002099,Nuts,,,,,Plant_Animal Feed
peanut butter,FOODON_03306867,Nuts,,,,peanut butter,FOODON_03306867,Nuts,Nuts,,,,Rodent_Animal Feed
snail food source,FOODON_03412114,Crustaceans,,,,snail food source,FOODON_03412114,Crustaceans,,,,,Swine_Animal Feed
rice food product,FOODON_00001185,Grains,,,,rice food product,FOODON_00001185,Grains,,,,,Avian_Food
clam (food source),FOODON_03411331,Bi-valve Mollusk,,,,clam (food source),FOODON_03411331,Bi-valve Mollusk,Clams,,,,Bovine_Food
mussel (food source),FOODON_03411223,Bi-valve Mollusk,,,,mussel (food source),FOODON_03411223,Bi-valve Mollusk,mussels,,,,Composite food_Food
oyster (food source),FOODON_03411224,Bi-valve Mollusk,,,,oyster (food source),FOODON_03411224,Bi-valve Mollusk,oysters,,,,Dairy_Food
scallop (food source),FOODON_03411489,Bi-valve Mollusk,,,,scallop (food source),FOODON_03411489,Bi-valve Mollusk,scallops,,,,Fish_Food
abalone (food source),FOODON_03411408,Non bi-valve Mollusks,,,,abalone (food source),FOODON_03411408,Non bi-valve Mollusks,Abalone,,,,Invertebrate_Food
chitin,CHEBI_17029,Non bi-valve Mollusks,,,,chitin,CHEBI_17029,Non bi-valve Mollusks,chitins,,,,ND_Food
limpet (food source),FOODON_03412279,Non bi-valve Mollusks,,,,limpet (food source),FOODON_03412279,Non bi-valve Mollusks,limpets,,,,Plant_Food
octopus (food source),FOODON_03411514,Non bi-valve Mollusks,,,,octopus (food source),FOODON_03411514,Non bi-valve Mollusks,octopus,,,,Reptile_Food
snail (food source),FOODON_03412114,Non bi-valve Mollusks,,,,snail (food source),FOODON_03412114,Non bi-valve Mollusks,snails,,,,Shellfish_Food
squid (food source),FOODON_03411205,Non bi-valve Mollusks,,,,squid (food source),FOODON_03411205,Non bi-valve Mollusks,squid,,,,Swine_Food
whelk (food source),FOODON_03411633,Non bi-valve Mollusks,,,,whelk (food source),FOODON_03411633,Non bi-valve Mollusks,whelk,,,,_
whale (food source),FOODON_03411343,Whales,,,,whale (food source),FOODON_03411343,Whales,Whales,,,,Amphibian_Wild Animal
seal meat (raw),FOODON_03306461,seals,,,,seal meat (raw),FOODON_03306461,seals,seals,,,,Avian_Wild Animal
frog (food source),FOODON_03411252,frogs,,,,frog (food source),FOODON_03411252,frogs,frogs,,,,Bat_Wild Animal
beef food product,FOODON_00001041,Beef,,,,beef food product,FOODON_00001041,Beef,Beef,,,,Bovine_Wild Animal
pork meat food product,FOODON_00001038,Pork,,,,pork meat food product,FOODON_00001038,Pork,Pork,,,,Camelid_Wild Animal
sheep meat food product,FOODON_00002236,Mutton,,,,sheep meat food product,FOODON_00002236,Mutton,Mutton,,,,Canine_Wild Animal
goat (food source),FOODON_03411328,chevon,,,,goat (food source),FOODON_03411328,chevon,chevon,,,,Deer_Wild Animal
lamb meat food product,FOODON_00001992,"lamb chops, rack of lamb",,,,lamb meat food product,FOODON_00001992,"lamb chops, rack of lamb","lamb chops, rack of lamb",,,,Equine_Wild Animal
horse (food source),FOODON_03411229,horse,,,,horse (food source),FOODON_03411229,horse,horse,,,,Feline_Wild Animal
chicken (food source),FOODON_03411457,Chicken,,,,chicken (food source),FOODON_03411457,Chicken,Chicken,,,,Invertebrate_Wild Animal
turkey meat food product,FOODON_00001286,Turkey,,,,turkey meat food product,FOODON_00001286,Turkey,Turkey,,,,Marsupial_Wild Animal
duck (food source),FOODON_03411316,Ducks,,,,duck (food source),FOODON_03411316,Ducks,Ducks,,,,Other mammal_Wild Animal
goose (food source),FOODON_03411253,geese,,,,goose (food source),FOODON_03411253,geese,geese,,,,Ovine_Wild Animal
pigeon (food source),FOODON_03411304,squab,,,,pigeon (food source),FOODON_03411304,squab,squab,,,,Primate_Wild Animal
ratite (food source),FOODON_03414362,"ratites (Ground, restructured, tenderized/injected, whole bird not stuffed and stuffed, carcass parts and other intact cuts)",,,,ratite (food source),FOODON_03414362,"ratites (Ground, restructured, tenderized/injected, whole bird not stuffed and stuffed, carcass parts and other intact cuts)","ratites (Ground, restructured, tenderized/injected, whole bird not stuffed and stuffed, carcass parts and other intact cuts)",,,,Rabbit_Wild Animal
game animal food product,FOODON_00002477,,,,,game animal food product,FOODON_00002477,,,,,,Reptile_Wild Animal
antelope (food source),FOODON_03411481,antelope,,,,antelope (food source),FOODON_03411481,antelope,antelope,,,,Rodent_Wild Animal
bison,NCBITaxon_9900,bison,,,,bison,NCBITaxon_9900,bison,bison,,,,Swine_Wild Animal
buffalo (food source),FOODON_03411476,buffalo,,,,buffalo (food source),FOODON_03411476,buffalo,buffalo,,,,Fish_Aquatic Animal
elk (food source),FOODON_03411292,elk,,,,elk (food source),FOODON_03411292,elk,elk,,,,Marine mammal_Aquatic Animal
pheasant (food source),FOODON_03411460,Other Poultry,,,,pheasant (food source),FOODON_03411460,Other Poultry,pheasant,,,,Shellfish_Aquatic Animal
rabbit (food source),FOODON_03411323,rabbit,,,,rabbit (food source),FOODON_03411323,rabbit,rabbit,,,,
snake (food source),FOODON_03411295,snake,,,,snake (food source),FOODON_03411295,snake,snake,,,,
fungal food product,FOODON_00001143,Fungi,,,,fungal food product,FOODON_00001143,Fungi,Fungi,,,,
sprout,FOODON_03420183,Sprouts,,,,sprout,FOODON_03420183,Sprouts,Sprouts,,,,
crustacean,FOODON_03411374,,,,,ginger food product,FOODON_00001901,Ginger,Ginger,,,,
taro vegetable food product,FOODON_00002310,taro,,,,taro vegetable food product,FOODON_00002310,taro,taro,,,,
solanaceous fruit food product,FOODON_00001163,Solanaceous,,,,solanaceous fruit food product,FOODON_00001163,Solanaceous,Solanaceous,,,,
legume food product,FOODON_00001264,legumes,,,,legume food product,FOODON_00001264,legumes,legumes,,,,
okra vegetable food product,FOODON_00002064,Seeded vegetable (other),,,,okra vegetable food product,FOODON_00002064,Seeded vegetable (other),Okra,,,,
tea food product,FOODON_03315081,teas,,,,tea food product,FOODON_03315081,teas,teas,,,,
leafy vegetable (food source),FOODON_03411566,Vegetable Row Crop leafy,,,,leafy vegetable (food source),FOODON_03411566,Vegetable Row Crop leafy,leafy vegetable,,,,
melon fruit food product,FOODON_00001152,Melons,,,,melon fruit food product,FOODON_00001152,Melons,Melons,,,,
pomaceous fruit food product,FOODON_00001158,Pome fruit,,,,pomaceous fruit food product,FOODON_00001158,Pome fruit,Pome fruit,,,,
stone fruit (food source),FOODON_03411539,stone fruit,,,,stone fruit (food source),FOODON_03411539,stone fruit,stone fruit,,,,
blackberry food product,FOODON_00001653,small fruit,,,,blackberry food product,FOODON_00001653,small fruit,small fruit,,,,
blueberry food product,FOODON_00001656,small fruit,,,,blueberry food product,FOODON_00001656,small fruit,small fruit,,,,
cranberry food product,FOODON_00001786,small fruit,,,,cranberry food product,FOODON_00001786,small fruit,small fruit,,,,
grape fruit food product,FOODON_00001170,small fruit,,,,grape fruit food product,FOODON_00001170,small fruit,small fruit,,,,
kiwifruit plant (food source),FOODON_03415178,small fruit,,,,kiwifruit plant (food source),FOODON_03415178,small fruit,small fruit,,,,
raspberry food product,FOODON_00002190,small fruit,,,,raspberry food product,FOODON_00002190,small fruit,small fruit,,,,
strawberry food product,FOODON_00002282,small fruit,,,,strawberry food product,FOODON_00002282,small fruit,small fruit,,,,
banana (food product),FOODON_03316257,Tropical fruit,,,,banana (food product),FOODON_03316257,Tropical fruit,Tropical fruit,,,,
papaya food product,FOODON_00002081,Tropical fruit,,,,papaya food product,FOODON_00002081,Tropical fruit,Tropical fruit,,,,
mango food product,FOODON_00002020,Tropical fruit,,,,mango food product,FOODON_00002020,Tropical fruit,Tropical fruit,,,,
pineapple food product,FOODON_00002119,Tropical fruit,,,,pineapple food product,FOODON_00002119,Tropical fruit,Tropical fruit,,,,
avocado vegetable food product,FOODON_00001625,Avocadoes,,,,avocado vegetable food product,FOODON_00001625,Avocadoes,Avocadoes,,,,
orange food product,FOODON_00002071,orange,,,,orange food product,FOODON_00002071,orange,orange,,,,
grapefruit food product,FOODON_00001929,grapefruit,,,,grapefruit food product,FOODON_00001929,grapefruit,grapefruit,,,,
lemon food product,FOODON_00001995,lemon,,,,lemon food product,FOODON_00001995,lemon,lemon,,,,
tangerine,FOODON_03315108,tangerine,,,,tangerine,FOODON_03315108,tangerine,tangerine,,,,
kumquat food product,FOODON_00001990,kumquat,,,,kumquat food product,FOODON_00001990,kumquat,kumquat,,,,
date food product,FOODON_00001803,dates,,,,date food product,FOODON_00001803,dates,dates,,,,
fig food product,FOODON_00001851,figs,,,,fig food product,FOODON_00001851,figs,figs,,,,
lychee food product,FOODON_00002006,lychees,,,,lychee food product,FOODON_00002006,lychees,lychees,,,,
persimmon plant (food source),FOODON_03411447,persimmons,,,,persimmon plant (food source),FOODON_03411447,persimmons,persimmons,,,,
pomegranate plant (food source),FOODON_03411162,pomegranates,,,,pomegranate plant (food source),FOODON_03411162,pomegranates,pomegranates,,,,
flour product,FOODON_03315395,flour-based products,,,,flour product,FOODON_03315395,flour-based products,flour-based products,,,,
cow milk based food product,FOODON_00001771,Dairy,,,,cow milk based food product,FOODON_00001771,Dairy,plant seeds,,,,
plant seed vegetable food product,FOODON_00002153,plant seeds,,,,plant seed vegetable food product,FOODON_00002153,plant seeds,,,,,
bovine (food source),FOODON_03414374,Beef,,,,bovine (food source),FOODON_03414374,Beef,,,,,
cow (food source),FOODON_03411201,Beef,,,,cow (food source),FOODON_03411201,Beef,,,,,
corn (vegetable) food product,FOODON_00001765,Seeded vegetable (other),,,,corn (vegetable) food product,FOODON_00001765,Seeded vegetable (other),,,,,
crab (food source),FOODON_03411335,Crustacean,,,,crab (food source),FOODON_03411335,Crustacean,,,,,
zucchini food product,FOODON_00002448,Seeded Vegetable (vine grown),,,,zucchini food product,FOODON_00002448,Seeded Vegetable (vine grown),Poultry,,,,
poultry meat food product,FOODON_00001131,Poultry,,,,poultry meat food product,FOODON_00001131,Poultry,Oils-sugars,,,,
sugar,FOODON_03420108,Oils-sugars,,,,sugar,FOODON_03420108,Oils-sugars,Pork,,,,
plant based refined or partially-refined food product,FOODON_00002131,Oils-sugars,,,,plant based refined or partially-refined food product,FOODON_00002131,Oils-sugars,Vegetable,,,,
vegetable food product,FOODON_00001261,Vegetable,,,,vegetable food product,FOODON_00001261,Vegetable,Grains-beans,,,,
grain plant (food source),FOODON_03411324,Grains,,,,grain plant (food source),FOODON_03411324,Grains,Grains-beans,,,,
bean (vegetable) food product,FOODON_00001635,Beans,,,,bean (vegetable) food product,FOODON_00001635,Beans,Nuts-seeds,,,,
nut food product,FOODON_00001172,Nuts-seeds,,,,nut food product,FOODON_00001172,Nuts-seeds,Nuts-seeds,,,,
spice or herb,FOODON_00001242,Herbs,,,,spice or herb,FOODON_00001242,Herbs,,,,,
plant seed food product,FOODON_00001173,Nuts-seeds,,,,plant seed food product,FOODON_00001173,Nuts-seeds,Herbs,,,,
spice or herb product flavoring or seasoning,FOODON_00002268,Herbs,,,,spice or herb product flavoring or seasoning,FOODON_00002268,Herbs,fruits,,,,
fruit food product,FOODON_03315615,fruits,,,,fruit food product,FOODON_03315615,fruits,,,,,
plant root vegetable food product,FOODON_00002150,Root/Underground vegetables,,,,plant root vegetable food product,FOODON_00002150,Root/Underground vegetables,,,,,
root vegetable product,FOODON_03317076,Root Vegetables,,,,root vegetable product,FOODON_03317076,Root Vegetables,,,,,
swine meat food product,FOODON_00001132,Pork,,,,swine meat food product,FOODON_00001132,Pork,,,,,
swine (food source),FOODON_03411136,Pork,,,,swine (food source),FOODON_03411136,Pork,,,,,
bovine meat food product,FOODON_00001134,Beef,,,,bovine meat food product,FOODON_00001134,Beef,,,,,
porcine meat food product,FOODON_00001132,Pork,,,,porcine meat food product,FOODON_00001132,Pork,,,,,
gallus gallus,NCBITaxon_9031,Chicken,,,,gallus gallus,NCBITaxon_9031,Chicken,,,,,
sheep (food source),FOODON_03411183,Other Meats,,,,sheep (food source),FOODON_03411183,Other Meats,,,,,
milk or milk component,FOODON_03420113,Dairy,,,,milk or milk component,FOODON_03420113,Dairy,Grains,,,,
cereal grain food product,FOODON_00001093,Grains,,,,cereal grain food product,FOODON_00001093,Grains,,,,,
plant leaf vegetable food product,FOODON_00002143,Vegetable Row Crop (leafy),,,,plant leaf vegetable food product,FOODON_00002143,Vegetable Row Crop (leafy),,,,,
plant stem or spear vegetable food product,FOODON_00002156,Stem Vegetable,,,,plant stem or spear vegetable food product,FOODON_00002156,Stem Vegetable,Vegetable Row Crops Flower,,,,
plant stem food product,FOODON_00001175,Vegetable Row Crops Flower,,,,plant stem food product,FOODON_00001175,Vegetable Row Crops Flower,Swine,,,,
sus scrofa,NCBITaxon_9823 ,Swine,,,,sus scrofa,NCBITaxon_9823 ,Swine,Feed,,,,
food product for animal,FOODON_03309997,Animal Feed,,,,food product for animal,FOODON_03309997,Animal Feed,Fish,,,,
"fish, siluriform",FOODON_03411598,Siluriformes,,,,"fish, siluriform",FOODON_03411598,Siluriformes,,,,,
