food-collocation,id,,food-collocation,id,,,food-collocation,id,,,alaska native,fc_226,c,sea salt,fc_3,,baked beans,fc_133
ice cream,fc_1,,ice cream,fc_1,f,,365 everyday,fc_14,?,,angel food,fc_1047,c,macaroni product,fc_5,,balsamic vinegar,fc_104
separable lean,fc_2,,separable lean,fc_2,c,,ounce plastic,fc_19,?,,artisan bread,fc_1154,c,,fc_6,,barbecue sauce,fc_62
sea salt,fc_3,,sea salt,fc_3,f,,food lion,fc_20,?,,asian gourmet,fc_800,c,trail mix,fc_7,,black bean,fc_55
potato chips,fc_4,,potato chips,fc_4,f,,harris teeter,fc_27,?,,asian style,fc_719,c,whole foods,fc_10,,black cherry,fc_127
macaroni product,fc_5,,macaroni product,fc_5,,,key food,fc_42,?,,assorted fruit,fc_222,c,drink mix,fc_11,,black tea,fc_73
whole grain,fc_6,,whole grain,fc_6,f,,essential everyday,fc_49,?,,blue diamond,fc_778,c,pasta sauce,fc_12,,bread crumbs,fc_123
trail mix,fc_7,,trail mix,fc_7,f,,monterey jack,fc_66,?,,bottom round,fc_1013,c,,fc_19,,chicken sausage,fc_109
foods market,fc_8,,foods market,fc_8,c,,organic whole,fc_78,?,,buffalo style,fc_223,c,,fc_20,,chip cookies,fc_112
enriched macaroni,fc_9,,enriched macaroni,fc_9,,,bty crk,fc_88,?,,butter cups,fc_230,c,,fc_21,,coconut water,fc_58
whole foods,fc_10,,whole foods,fc_10,f,,separable lean,fc_2,c,,caffeine free,fc_139,c,greek yogurt,fc_22,,cooked potato,fc_135
drink mix,fc_11,,drink mix,fc_11,f,,foods market,fc_8,c,,cajun style,fc_758,c,jack cheese,fc_23,,diced tomatoes,fc_47
pasta sauce,fc_12,,pasta sauce,fc_12,f,,everyday value,fc_13,c,,chips ahoy,fc_333,c,,fc_25,,drink mix,fc_11
everyday value,fc_13,,everyday value,fc_13,c,,tortilla chips,fc_15,c,,chunk light,fc_412,c,,fc_34,,energy drink,fc_76
365 everyday,fc_14,,365 everyday,fc_14,?,,great value,fc_16,c,,classic italian,fc_982,c,sparkling water,fc_35,,fruit punch,fc_64
tortilla chips,fc_15,,tortilla chips,fc_15,c,,extra virgin,fc_17,c,,clover valley,fc_99,c,roasted garlic,fc_38,,greek yogurt,fc_22
great value,fc_16,,great value,fc_16,c,,gluten free,fc_18,c,,cold brew,fc_237,c,iced tea,fc_41,,hickory smoked,fc_120
extra virgin,fc_17,,extra virgin,fc_17,c,,reduced fat,fc_24,c,,cold pressed,fc_290,c,,fc_42,,hot cocoa,fc_75
gluten free,fc_18,,gluten free,fc_18,c,,low fat,fc_29,c,,corner store,fc_1056,c,,fc_44,,iced tea,fc_41
ounce plastic,fc_19,,ounce plastic,fc_19,?,,old fashioned,fc_30,c,,country fresh,fc_984,c,water beverage,fc_45,,jack cheese,fc_23
food lion,fc_20,,food lion,fc_20,?,,sugar free,fc_31,c,,country style,fc_270,c,,fc_46,,juice blend,fc_83
virgin olive,fc_21,,virgin olive,fc_21,,,food club,fc_32,c,,crystal farms,fc_740,c,diced tomatoes,fc_47,,juice cocktail,fc_74
greek yogurt,fc_22,,greek yogurt,fc_22,f,,fat free,fc_33,c,,culinary circle,fc_741,c,,fc_49,,macaroni product,fc_5
jack cheese,fc_23,,jack cheese,fc_23,f,,italian style,fc_37,c,,cut green,fc_320,c,sandwich cookies,fc_50,,oat cereal,fc_101
reduced fat,fc_24,,reduced fat,fc_24,c,,weis quality,fc_43,c,,dark red,fc_1021,c,,fc_52,,organic fruit,fc_131
chocolate covered,fc_25,,chocolate covered,fc_25,f,,plastic bottle,fc_51,c,,del monte,fc_153,c,black bean,fc_55,,pasta sauce,fc_12
raw beef,fc_26,,raw beef,fc_26,,,giant eagle,fc_57,c,,deli style,fc_166,c,coconut water,fc_58,,protein bar,fc_129
harris teeter,fc_27,,harris teeter,fc_27,?,,dry roasted,fc_59,c,,dry roasted,fc_59,fc,sugar cookies,fc_61,,ranch dressing,fc_102
brown rice,fc_28,,brown rice,fc_28,f,,plastic bag,fc_65,c,,duncan hines,fc_261,c,barbecue sauce,fc_62,,roasted garlic,fc_38
low fat,fc_29,,low fat,fc_29,c,,western family,fc_67,c,,england style,fc_1249,c,fruit punch,fc_64,,roasted turkey,fc_97
old fashioned,fc_30,,old fashioned,fc_30,c,,honey roasted,fc_69,c,,english muffins,fc_273,fc,,fc_66,,sandwich cookies,fc_50
sugar free,fc_31,,sugar free,fc_31,c,,fully cooked,fc_70,c,,equal volume,fc_677,c,black tea,fc_73,,sauce mix,fc_105
food club,fc_32,,food club,fc_32,c,,kettle cooked,fc_72,c,,everyday value,fc_13,c,juice cocktail,fc_74,,sea salt,fc_3
fat free,fc_33,,fat free,fc_33,c,,fire roasted,fc_90,c,,extra creamy,fc_2723,,hot cocoa,fc_75,,snack crackers,fc_110
white cheddar,fc_34,,white cheddar,fc_34,,,mexican style,fc_92,c,,extra crispy,fc_1608,,energy drink,fc_76,,snack mix,fc_95
sparkling water,fc_35,,sparkling water,fc_35,f,,heavy syrup,fc_93,c,,extra dark,fc_1406,,,fc_77,,sparkling water,fc_35
bbq sauce,fc_36,,bbq sauce,fc_36,f,,wild caught,fc_94,c,,extra fancy,fc_1684,,,fc_78,,sugar cookies,fc_61
italian style,fc_37,,italian style,fc_37,c,,thin crust,fc_98,c,,extra fine,fc_3423,,,fc_79,,trail mix,fc_7
roasted garlic,fc_38,,roasted garlic,fc_38,,,clover valley,fc_99,c,,extra firm,fc_2535,,,fc_82,,water beverage,fc_45
hot sauce,fc_39,,hot sauce,fc_39,f,,thirst quencher,fc_100,c,,extra heavy,fc_3167,,juice blend,fc_83,,whole foods,fc_10
nonfat yogurt,fc_40,,nonfat yogurt,fc_40,f,,new york,fc_107,c,,extra hot,fc_1346,c,,fc_84,,,fc_6
iced tea,fc_41,,iced tea,fc_41,f,,gold emblem,fc_117,c,,extra large,fc_365,c,,fc_86,,,fc_19
key food,fc_42,,key food,fc_42,?,,red velvet,fc_118,c,,extra lean,fc_1295,c,,fc_87,,,fc_20
weis quality,fc_43,,weis quality,fc_43,c,,low calorie,fc_137,c,,extra light,fc_394,c,,fc_88,,,fc_21
sharp cheddar,fc_44,,sharp cheddar,fc_44,,,caffeine free,fc_139,c,,extra long,fc_1347,c,,fc_91,,,fc_25
water beverage,fc_45,,water beverage,fc_45,,,private selection,fc_148,c,,extra sharp,fc_274,c,snack mix,fc_95,,,fc_34
light syrup,fc_46,,light syrup,fc_46,f,,del monte,fc_153,c,,extra thick,fc_2935,,,fc_96,,,fc_42
diced tomatoes,fc_47,,diced tomatoes,fc_47,f,,deli style,fc_166,c,,extra thin,fc_3168,,roasted turkey,fc_97,,,fc_44
lowfat yogurt,fc_48,,lowfat yogurt,fc_48,f,,stir fry,fc_185,c,,extra virgin,fc_17,c,oat cereal,fc_101,,,fc_46
essential everyday,fc_49,,essential everyday,fc_49,?,,home style,fc_188,c,,extra wide,fc_2089,,ranch dressing,fc_102,,,fc_49
sandwich cookies,fc_50,,sandwich cookies,fc_50,f,,simple truth,fc_190,c,,family size,fc_679,c,,fc_103,,,fc_52
plastic bottle,fc_51,,plastic bottle,fc_51,c,,wild rice,fc_195,c,,farm foods,fc_1134,c,balsamic vinegar,fc_104,,,fc_66
without salt,fc_52,,without salt,fc_52,f,,low sodium,fc_200,c,,farm fresh,fc_1168,c,sauce mix,fc_105,,,fc_77
green beans,fc_53,,green beans,fc_53,f,,fresh market,fc_204,c,,fat free,fc_33,c,chicken sausage,fc_109,,,fc_78
fruit juice,fc_54,,fruit juice,fc_54,f,,key lime,fc_209,c,,fire roasted,fc_90,fc,snack crackers,fc_110,,,fc_79
black bean,fc_55,,black bean,fc_55,f,,three cheese,fc_215,c,,first street,fc_742,c,chip cookies,fc_112,,,fc_82
sweet potato,fc_56,,sweet potato,fc_56,f,,naturally flavored,fc_220,c,,five cheese,fc_1296,c,,fc_114,,,fc_84
giant eagle,fc_57,,giant eagle,fc_57,c,,assorted fruit,fc_222,c,,flavored sparkling,fc_440,c,,fc_115,,,fc_86
coconut water,fc_58,,coconut water,fc_58,f,,buffalo style,fc_223,c,,food club,fc_32,c,,fc_119,,,fc_87
dry roasted,fc_59,,dry roasted,fc_59,c,,french vanilla,fc_224,c,,foods market,fc_8,c,hickory smoked,fc_120,,,fc_88
mixed nuts,fc_60,,mixed nuts,fc_60,f,,alaska native,fc_226,c,,french fried,fc_302,c,,fc_121,,,fc_91
sugar cookies,fc_61,,sugar cookies,fc_61,f,,butter cups,fc_230,c,,french fries,fc_1213,c,,fc_122,,,fc_96
barbecue sauce,fc_62,,barbecue sauce,fc_62,f,,thin sliced,fc_234,c,,french style,fc_264,c,bread crumbs,fc_123,,,fc_103
instant oatmeal,fc_63,,instant oatmeal,fc_63,f,,cold brew,fc_237,c,,french vanilla,fc_224,c,,fc_124,,,fc_114
fruit punch,fc_64,,fruit punch,fc_64,f,,hot cereal,fc_238,c,,fresh foods,fc_744,c,,fc_125,,,fc_115
plastic bag,fc_65,,plastic bag,fc_65,c,,lemon lime,fc_239,c,,fresh ground,fc_1135,c,black cherry,fc_127,,,fc_119
monterey jack,fc_66,,monterey jack,fc_66,?,,mix organic,fc_240,c,,fresh market,fc_204,c,,fc_128,,,fc_121
western family,fc_67,,western family,fc_67,c,,variety meats,fc_241,c,,full circle,fc_303,c,protein bar,fc_129,,,fc_122
granola bars,fc_68,,granola bars,fc_68,f,,jalapeno peppers,fc_243,c,,fully cooked,fc_70,c,,fc_130,,,fc_124
honey roasted,fc_69,,honey roasted,fc_69,c,,duncan hines,fc_261,c,,giant eagle,fc_57,c,organic fruit,fc_131,,,fc_125
fully cooked,fc_70,,fully cooked,fc_70,c,,restaurant style,fc_263,c,,gluten free,fc_18,c,,fc_132,,,fc_128
condensed soup,fc_71,,condensed soup,fc_71,f,,french style,fc_264,c,,gold emblem,fc_117,c,baked beans,fc_133,,,fc_130
kettle cooked,fc_72,,kettle cooked,fc_72,c,,reduced sodium,fc_265,c,,great value,fc_16,c,,fc_134,,,fc_132
black tea,fc_73,,black tea,fc_73,f,,country style,fc_270,c,,greek style,fc_554,c,cooked potato,fc_135,Done upto here,,fc_134
juice cocktail,fc_74,,juice cocktail,fc_74,f,,english muffins,fc_273,c,,hash browns,fc_919,c,sauce organic,fc_136,,,
hot cocoa,fc_75,,hot cocoa,fc_75,f,,extra sharp,fc_274,c,,hawaiian style,fc_990,c,ounce paper,fc_138,,,
energy drink,fc_76,,energy drink,fc_76,f,,cold pressed,fc_290,c,,heavy syrup,fc_93,c,cheese slices,fc_140,f,,
market pantry,fc_77,,market pantry,fc_77,f,,french fried,fc_302,c,,high fiber,fc_1252,c,trader joe,fc_142,xxx,,
organic whole,fc_78,,organic whole,fc_78,?,,full circle,fc_303,c,,hodgson mill,fc_991,c,winco foods,fc_143,xxx,,
crust pizza,fc_79,,crust pizza,fc_79,,,liquid water,fc_305,c,,home style,fc_188,c,pumpkin seeds,fc_144,f,,
goat cheese,fc_80,,goat cheese,fc_80,f,,smart sense,fc_306,c,,honey roasted,fc_69,fc,style chicken,fc_145,xxx,,
jelly beans,fc_81,,jelly beans,fc_81,f,,oil spread,fc_310,c,,hot cereal,fc_238,c,braised beef,fc_146,xxx,,
salted caramel,fc_82,,salted caramel,fc_82,f,,trident gum,fc_311,c,,island dressing,fc_1216,c,parmesan cheese,fc_147,f,,
juice blend,fc_83,,juice blend,fc_83,f,,new england,fc_315,c,,italian style,fc_37,c,black forest,fc_149,c,,
black beans,fc_84,,black beans,fc_84,f,,pot pie,fc_316,c,,jalapeno peppers,fc_243,c,chip cookie,fc_150,f,,
blue cheese,fc_85,,blue cheese,fc_85,f,,ultra thin,fc_319,c,,japanese style,fc_814,c,kosher dill,fc_151,?,,
pepper jack,fc_86,,pepper jack,fc_86,f,,cut green,fc_320,c,,kellogg special,fc_785,c,rib meat,fc_152,f,,
long grain,fc_87,,long grain,fc_87,,,stone ground,fc_327,c,,kettle cooked,fc_72,c,oreo cookies,fc_154,xxx,,
bty crk,fc_88,,bty crk,fc_88,?,,morningstar farms,fc_328,c,,key lime,fc_209,c,yellow cling,fc_155,?,,
smoked sausage,fc_89,,smoked sausage,fc_89,f,,chips ahoy,fc_333,c,,kum kee,fc_992,c,corn tortilla,fc_160,f,,
fire roasted,fc_90,,fire roasted,fc_90,c,,southern style,fc_338,c,,lean cuisine,fc_993,c,four cheese,fc_161,?,,
lowes foods,fc_91,,lowes foods,fc_91,,,sun dried,fc_347,c,,lean meat,fc_994,c,marie callenders,fc_162,?,,
mexican style,fc_92,,mexican style,fc_92,c,,target corporation,fc_348,c,,lemon lime,fc_239,c,chocolate fudge,fc_165,f,,
heavy syrup,fc_93,,heavy syrup,fc_93,c,,top loin,fc_349,c,,liquid water,fc_305,fc,ocean spray,fc_167,,,
wild caught,fc_94,,wild caught,fc_94,c,,zero calorie,fc_350,c,,low calorie,fc_137,c,shortbread cookies,fc_168,,,
snack mix,fc_95,,snack mix,fc_95,f,,extra large,fc_365,c,,low fat,fc_29,c,mixed berry,fc_170,,,
premium ice,fc_96,,premium ice,fc_96,f,,red mill,fc_387,c,,low moisture,fc_707,c,russell stover,fc_171,,,
roasted turkey,fc_97,,roasted turkey,fc_97,f,,extra light,fc_394,c,,low sodium,fc_200,c,grilled chicken,fc_172,,,
thin crust,fc_98,,thin crust,fc_98,c,,ranch dip,fc_406,c,,maple grove,fc_922,c,healthy choice,fc_173,,,
clover valley,fc_99,,clover valley,fc_99,c,,soft baked,fc_408,c,,meal replacement,fc_1106,c,paper box,fc_174,,,
thirst quencher,fc_100,,thirst quencher,fc_100,c,,star wars,fc_409,c,,mediterranean style,fc_1139,c,pasteurized process,fc_175,,,
oat cereal,fc_101,,oat cereal,fc_101,,,chunk light,fc_412,c,,mexican style,fc_92,c,tomato basil,fc_176,,,
ranch dressing,fc_102,,ranch dressing,fc_102,f,,natural flavor,fc_431,c,,minute maid,fc_871,c,bite size,fc_177,,,
lightly salted,fc_103,,lightly salted,fc_103,f,,top round,fc_435,c,,mix organic,fc_240,c,flavored snacks,fc_178,,,
