Ontology ID,IFSAC Label,Bucket,,,,,Ontology ID,IFSAC Label,Bucket,,IFSAC Label,,,,,,
FOODON_03411222,Fish,fish (food source),,,,,FOODON_03411222,Fish,fish (food source),,Fish,,,,,,
FOODON_03411433,Shellfish,shellfish (food source),,,,,FOODON_03411433,Shellfish,shellfish (food source),,Shellfish,,,,,,
FOODON_00001256,Dairy,dairy food product,,,,,FOODON_00001256,Dairy,dairy food product,,Dairy,,,,,,
FOODON_00001274,Eggs,egg food product,,,,,FOODON_00001274,Eggs,egg food product,,Eggs,,,,,,
FOODON_00001006,Meats,meat food product,,,,,FOODON_00001006,Meat,meat food product,,Meat,,,,,,
FOODON_00001131,Poultry,poultry meat food product,,,,,FOODON_00001131,Poultry,poultry meat food product,,Poultry,,,,,,
FOODON_03420108,Sugars,sugar,,,,,FOODON_03420108,Sugars,sugar,Sugar-Oils,Sugars,,,,,,
FOODON_00002131,Oils,plant based refined or partially-refined food product,,,,,FOODON_00002131,Oils,plant based refined or partially-refined food product,Sugar-Oils,Oils,,,,,,
FOODON_00001261,Vegetables,vegetable food product,,,,,FOODON_00001261,Vegetable,vegetable food product,Sugar-Oils,Vegetable,,,,,,
FOODON_03411324,Grains,grain plant (food source),,,,,FOODON_03411324,Grains,grain plant (food source),grains-beans,Grains,,,,,,
FOODON_00001635,Beans,bean (vegetable) food product,,,,,FOODON_00001635,Beans,bean (vegetable) food product,,Beans,,,,,,
FOODON_00001172,Nuts,nut food product,,,,,FOODON_00001172,Nuts,nut food product,Nuts-seeds,Nuts,,,,,,
FOODON_00001173,Seeds,plant seed food product,,,,,FOODON_00001173,Seeds,plant seed food product,,Seeds,,,,,,
FOODON_00002268,Herbs,spice or herb product flavoring or seasoning,,,,,FOODON_00002268,Herbs,spice or herb product flavoring or seasoning,,Herbs,,,,,,
FOODON_03315615 ,Fruits,fruit food product,,,,,FOODON_03315615 ,Fruits,fruit food product,,Fruits,,,,,,
FOODON_03411331,Bi-Valve Mollusk,clam (food source),,,,,FOODON_03411331,Bi-Valve Mollusk,clam (food source),,Bi-Valve Mollusk,,,,,,
FOODON_03411223,Bi-Valve Mollusk,mussel (food source),,,,,FOODON_03411223,Bi-Valve Mollusk,mussel (food source),,Bi-Valve Mollusk,,,,,,
FOODON_03411224,Bi-Valve Mollusk,oyster (food source),,,,,FOODON_03411224,Bi-Valve Mollusk,oyster (food source),,Bi-Valve Mollusk,,,,,,
FOODON_03411489,Bi-Valve Mollusk,scallop (food source),,,,,FOODON_03411489,Bi-Valve Mollusk,scallop (food source),,Bi-Valve Mollusk,,,,,,
FOODON_03411408,Non Bi-Valve Mollusk,abalone (food source),,,,,FOODON_03411408,Non Bi-Valve Mollusk,abalone (food source),,Non Bi-Valve Mollusk,,,,,,
CHEBI_17029,Non Bi-Valve Mollusk,chitin,,,,,CHEBI_17029,Non Bi-Valve Mollusk,chitin,,Non Bi-Valve Mollusk,,,,,,
