Stopwords,,,,,,,
a,,about,,,a,,
an,,above,,,b,,
by,,after,,,c,celcius,
h,,again,,,d,day,
t,,against,,,e,,
w,,all,,,f,fahern,any
x,,am,,,g,gram,as
r,,an,,,h,,at
be,,and,,,i,,
am,,any,,,j,joule,
are,,are,,,k,,
aren't,,aren't,,,l,,
been,,as,,,m,meter,
being,,at,,,n,,
cannot,,be,,,o,,
can't,,because,,,p,,
could,,been,,,q,,
couldn't,,before,,,r,,before
did,,being,,,s,,
didn't,,below,,,t,,below
do,,between,,,u,,between
does,,both,,,v,,both
doesn't,,but,,,w,,
doing,,by,,,y,,
don't,,can't,,,z,,
had,,cannot,,,,,
hadn't,,could,,,,,
has,,couldn't,,,,,
hasn't,,did,,,,,
have,,didn't,,,,,
haven't,,do,,,,,
he,,does,,,,,
he'd,,doesn't,,,,,
he'll,,doing,,,,,
her,,don't,,,,,
hers,,down,,,,down,
herself,,during,,,,during,
he's,,each,,,,each,
him,,few,,,,few,
his,,for,,,,further,
how,,from,,,,,
how's,,further,,,,,
i,,had,,,,,
i'd,,hadn't,,,,,
i'll,,has,,,,,
i'm,,hasn't,,,,having,
is,,have,,,,,
isn't,,haven't,,,,,
it,,having,,,,,
its,,he,,,,,
it's,,he'd,,,,,
itself,,he'll,,,,,
i've,,he's,,,,,
let's,,her,,,,,
me,,here,,,,,
mustn't,,here's,,,,here,
my,,hers,,,,here's,
myself,,herself,,,,,
ought,,him,,,,,
our,,him,,,,,
ours,,his,,,,,
ourselves,,how,,,,,
shan't,,how's,,,,,
she,,i,,,,,
she'd,,i'd,,,,,
she'll,,i'll,,,,,
she's,,i'm,,,,,
should,,i've,,,,,
shouldn't,,if,,,,if,
that,,in,,,,in,
that's,,into,,,,into,
the,,is,,,,,
their,,isn't,,,,,
theirs,,it,,,,,
them,,it's,,,,,
themselves,,its,,,,,
there,,itself,,,,,
there's,,let's,,,,more,
these,,me,,,,most,
they,,more,,,,,
they'd,,most,,,,,
they'll,,mustn't,,,,,
they're,,my,,,,no,
they've,,myself,,,,nor,
this,,no,,,,not,
those,,nor,,,,of,
was,,not,,,,off,
wasn't,,of,,,,on,
we,,off,,,,once,
we'd,,on,,,,only,
we'll,,once,,,,or,
were,,only,,,,other,
we're,,or,,,,,
weren't,,other,,,,,
we've,,ought,,,,,
what,,our,,,,,
what's,,ours,,,,,
when,,ourselves,,,,,
when's,,out,,,,,
where,,over,,,,out,
where's,,own,,,,own,
which,,same,,,,over,
while,,shan't,,,,,
who,,she,,,,same,
whom,,she'd,,,,,
who's,,she'll,,,,,
why,,she's,,,,,
why's,,should,,,,,
with,,shouldn't,,,,,
won't,,so,,,,,
would,,some,,,,so,
wouldn't,,such,,,,some,
you,,than,,,,such,
you'd,,that,,,,,
you'll,,that's,,,,than,
your,,the,,,,,
you're,,their,,,,,
yours,,theirs,,,,,
yourself,,them,,,,,
yourselves,,themselves,,,,,
you've,,then,,,,then,
,,there,,,,,
,,there's,,,,,
,,these,,,,,
,,they,,,,,
,,they'd,,,,,
,,they'll,,,,,
,,they're,,,,,
,,they've,,,,,
,,this,,,,through,
,,those,,,,to,
,,through,,,,too,
,,to,,,,,
,,too,,,,,
,,under,,,,under,
,,until,,,,until,
,,up,,,,up,
,,very,,,,very,
,,was,,,,,
,,wasn't,,,,,
,,we,,,,,
,,we'd,,,,,
,,we'll,,,,,
,,we're,,,,,
,,we've,,,,,
,,were,,,,,
,,weren't,,,,,
,,what,,,,,
,,what's,,,,,
,,when,,,,,
,,when's,,,,,
,,where,,,,,
,,where's,,,,,
,,which,,,,,
,,while,,,,,
,,who,,,,,
,,who's,,,,,
,,whom,,,,,
,,why,,,,,
,,why's,,,,,
,,with,,,,,
,,won't,,,,,
,,would,,,,,
,,wouldn't,,,,,
,,you,,,,,
,,you'd,,,,,
,,you'll,,,,,
,,you're,,,,,
,,you've,,,,,
,,your,,,,,
,,yours,,,,,
,,yourself,,,,,
,,yourselves,,,,,
