CHEBI_10607,n-propyl gallate
CHEBI_113451,sodium ascorbate
CHEBI_113455,sodium benzoate
CHEBI_114786,sodium disulfite
CHEBI_12777,vitamin A
CHEBI_131526,potassium carbonate
CHEBI_131621,C19-steroid
CHEBI_131927,dicarboxylic acids and O-substituted derivatives
CHEBI_132106,sodium propionate
CHEBI_133331,metal oxide
CHEBI_133354,bentonite
CHEBI_13389,NAD
CHEBI_13392,NADPH
CHEBI_134179,volatile organic compound
CHEBI_134438,titanium oxides
CHEBI_13643,glycol
CHEBI_136861,pyrrolopurine
CHEBI_15022,electron donor
CHEBI_15040,retinyl palmitate
CHEBI_15339,acceptor
CHEBI_15356,cysteine
CHEBI_15366,acetic acid
CHEBI_15377,water
CHEBI_15378,hydron
CHEBI_15379,dioxygen
CHEBI_15422,ATP
CHEBI_15428,glycine
CHEBI_15611,sarcosine
CHEBI_15674,"2,3-dihydroxybutanedioic acid"
CHEBI_15693,aldose
CHEBI_15705,L-alpha-amino acid
CHEBI_15734,primary alcohol
CHEBI_15741,succinic acid
CHEBI_15841,polypeptide
CHEBI_15940,nicotinic acid
CHEBI_15948,lycopene
CHEBI_15956,biotin
CHEBI_16042,halide anion
CHEBI_16134,ammonia
CHEBI_16136,hydrogen sulfide
CHEBI_16183,methane
CHEBI_16189,sulfate
CHEBI_16199,urea
CHEBI_16234,hydroxide
CHEBI_16236,ethanol
CHEBI_16301,nitrite
CHEBI_16454,pantothenate
CHEBI_16474,NADPH
CHEBI_16482,naphthalene
CHEBI_16526,carbon dioxide
CHEBI_16646,carbohydrate
CHEBI_16670,peptide
CHEBI_16701,nucleoside 5'-phosphate
CHEBI_16900,chlorophyllide a
CHEBI_16908,NADH
CHEBI_16966,heteroglycan
CHEBI_16991,deoxyribonucleic acid
CHEBI_16997,"propane-1,2-diol"
CHEBI_17015,riboflavin
CHEBI_17045,dinitrogen oxide
CHEBI_17051,fluoride
CHEBI_17087,ketone
CHEBI_17097,biphenyl
CHEBI_17113,erythritol
CHEBI_17151,xylitol
CHEBI_17154,nicotinamide
CHEBI_17188,nucleoside 5'-monophosphate
CHEBI_17202,IMP
CHEBI_17234,glucose
CHEBI_17245,carbon monoxide
CHEBI_17306,MALTOSE
CHEBI_17309,pectin
CHEBI_17326,nucleoside triphosphate
CHEBI_17347,testosterone
CHEBI_17439,cyanocobIIIalamin
CHEBI_17478,aldehyde
CHEBI_17522,alditol
CHEBI_17544,hydrogencarbonate
CHEBI_17548,alginic acid
CHEBI_17561,L-cysteine
CHEBI_17579,beta-carotene
CHEBI_17593,maltooligosaccharide
CHEBI_17608,D-aldohexose
CHEBI_17621,FMN
CHEBI_17632,nitrate
CHEBI_17634,DEXTROSE
CHEBI_17654,electron acceptor
CHEBI_17716,LACTOSE
CHEBI_17754,glycerol
CHEBI_17883,hydrogen chloride
CHEBI_17891,donor
CHEBI_17972,ribonucleoside triphosphate
CHEBI_17987,benzyl alcohol
CHEBI_17992,SUCROSE
CHEBI_17996,chloride
CHEBI_17997,dinitrogen
CHEBI_18012,fumaric acid
CHEBI_18059,lipid
CHEBI_18067,phylloquinone
CHEBI_18133,hexose
CHEBI_18139,trimethylamine
CHEBI_18140,hydrogen halide
CHEBI_18154,polysaccharide
CHEBI_18185,gamma-tocopherol
CHEBI_18219,ammonium hydroxide
CHEBI_18230,chlorophyll a
CHEBI_18237,glutamic acid
CHEBI_18246,1->4-beta-D-glucan
CHEBI_18248,iron atom
CHEBI_18276,dihydrogen
CHEBI_18291,manganese atom
CHEBI_18310,alkane
CHEBI_18346,vanillin
CHEBI_18367,phosphate3-
CHEBI_18422,sulfur dioxide
CHEBI_21241,vitamin C
CHEBI_21760,N-methyl-amino acid
CHEBI_21766,N-methylglycines
CHEBI_22160,acetamides
CHEBI_22256,adenosine phosphate
CHEBI_22290,aldaric acid
CHEBI_22301,aldonic acid
CHEBI_22313,alkaline earth metal atom
CHEBI_22314,alkali metal atom
CHEBI_22315,alkaloid
CHEBI_22323,alkyl group
CHEBI_22331,alkylamines
CHEBI_22390,alpha-D-glucoside
CHEBI_22470,alpha-tocopherol
CHEBI_22563,anion
CHEBI_22582,antibiotic
CHEBI_22629,arsenate ion
CHEBI_22632,arsenic molecular entity
CHEBI_22652,ascorbic acid
CHEBI_22695,base
CHEBI_22698,benzaldehydes
CHEBI_22707,benzenetriol
CHEBI_22712,benzenes
CHEBI_22715,benzimidazoles
CHEBI_22718,benzoates
CHEBI_22723,benzoic acids
CHEBI_22727,benzopyran
CHEBI_22728,benzopyrrole
CHEBI_22743,benzyl alcohols
CHEBI_22823,beta-alanine derivative
CHEBI_22888,biphenyls
CHEBI_22916,boron molecular entity
CHEBI_22918,branched-chain amino acid
CHEBI_22958,butenedioic acid
CHEBI_22977,cadmium atom
CHEBI_22984,calcium atom
CHEBI_22985,calcium molecular entity
CHEBI_23003,carbamate ester
CHEBI_23014,carbon oxide
CHEBI_23016,carbonates
CHEBI_23042,carotene
CHEBI_23044,carotenoid
CHEBI_23045,carotenol
CHEBI_23114,chloride salt
CHEBI_23116,chlorine atom
CHEBI_23117,chlorine molecular entity
CHEBI_23229,chromanol
CHEBI_23230,chromanes
CHEBI_23237,chromium molecular entity
CHEBI_23333,cobIIIalamins
CHEBI_23334,cobalamins
CHEBI_23341,cobamides
CHEBI_23367,molecular entity
CHEBI_23377,copper molecular entity
CHEBI_23390,cobalt-corrinoid hexaamide
CHEBI_23448,cyclic oligosaccharide
CHEBI_23449,cyclic peptide
CHEBI_23456,cyclodextrin
CHEBI_23652,dextrins
CHEBI_23824,diol
CHEBI_23849,diterpenoid
CHEBI_23888,drug
CHEBI_23905,monoatomic anion
CHEBI_23906,monoatomic cation
CHEBI_23924,enzyme inhibitor
CHEBI_23982,ethanols
CHEBI_24041,flavin mononucleotide
CHEBI_24061,fluorine atom
CHEBI_24174,galacturonan
CHEBI_24266,gluconic acid
CHEBI_24268,glucooligosaccharide
CHEBI_24278,glucoside
CHEBI_24315,glutamic acid derivative
CHEBI_24373,glycine derivative
CHEBI_24384,glycogens
CHEBI_24400,glycoside
CHEBI_24405,glycosylglucose
CHEBI_24407,glycosyl glycoside
CHEBI_24431,chemical entity
CHEBI_24432,biological role
CHEBI_24433,group
CHEBI_24436,guanidines
CHEBI_24471,halogen molecular entity
CHEBI_24473,halogen
CHEBI_24532,organic heterocyclic compound
CHEBI_24533,heterodetic cyclic peptide
CHEBI_24555,hexadienoic acid
CHEBI_24583,hexitol
CHEBI_24632,hydrocarbon
CHEBI_24651,hydroxides
CHEBI_24669,hydroxy carboxylic acid
CHEBI_24675,hydroxybenzoate
CHEBI_24676,hydroxybenzoic acid
CHEBI_24782,imide
CHEBI_24828,indoles
CHEBI_24833,oxoacid
CHEBI_24834,inorganic anion
CHEBI_24835,inorganic molecular entity
CHEBI_24836,inorganic oxide
CHEBI_24838,inorganic phosphate
CHEBI_24839,inorganic salt
CHEBI_24840,inorganic sulfate salt
CHEBI_24843,inosine phosphate
CHEBI_24860,iodine molecular entity
CHEBI_24866,salt
CHEBI_24867,monoatomic ion
CHEBI_24868,organic salt
CHEBI_24870,ion
CHEBI_24873,iron molecular entity
CHEBI_24913,isoprenoid
CHEBI_24963,ketoaldonic acid
CHEBI_24973,ketohexose
CHEBI_24978,ketose
CHEBI_24997,lactate salt
CHEBI_25000,lactone
CHEBI_25016,lead atom
CHEBI_25017,leucine
CHEBI_2509,agar
CHEBI_25106,macrolide
CHEBI_25107,magnesium atom
CHEBI_25108,magnesium molecular entity
CHEBI_25111,magnesium porphyrin
CHEBI_25140,MALTODEXTRIN
CHEBI_25212,metabolite
CHEBI_25213,metal cation
CHEBI_25216,metalloporphyrin
CHEBI_25235,monomethoxybenzene
CHEBI_25248,methyl ester
CHEBI_25274,methylamines
CHEBI_25355,mitochondrial respiratory-chain inhibitor
CHEBI_25362,elemental molecule
CHEBI_25367,molecule
CHEBI_25384,monocarboxylic acid
CHEBI_25388,monohydroxybenzoate
CHEBI_25414,monoatomic monocation
CHEBI_25430,monoatomic polycation
CHEBI_25435,mutagen
CHEBI_25442,mycotoxin
CHEBI_25477,naphthalenes
CHEBI_25481,naphthoquinone
CHEBI_25512,neurotransmitter
CHEBI_25523,NADP
CHEBI_25524,NADP
CHEBI_25527,nicotinamide nucleotide
CHEBI_25529,pyridinecarboxamide
CHEBI_25549,nitrites
CHEBI_25555,nitrogen atom
CHEBI_25567,nitrous acid
CHEBI_25585,nonmetal atom
CHEBI_25608,nucleoside phosphate
CHEBI_25676,oligopeptide
CHEBI_25693,organic heteromonocyclic compound
CHEBI_25696,organic anion
CHEBI_25697,organic cation
CHEBI_25698,ether
CHEBI_25699,organic ion
CHEBI_25701,organic oxide
CHEBI_25703,organic phosphate
CHEBI_25704,organic sulfate
CHEBI_2571,aliphatic alcohol
CHEBI_25710,organophosphorus compound
CHEBI_25741,oxide
CHEBI_25805,oxygen atom
CHEBI_25806,oxygen molecular entity
