Term,Expansion,
1pt,[Abbreviation],
aka,[Abbreviation],
BB,[Abbreviation],
bby,[Abbreviation],
bnl,[Abbreviation],
bott,[Abbreviation],
brie,[Abbreviation],
cc1,[Abbreviation],
CC2,[Abbreviation],
da,[Abbreviation],
equu,[Abbreviation],
ga,[Abbreviation],
grd,[Abbreviation],
hircu,[Abbreviation],
illex,[Abbreviation],
iraty,[Abbreviation],
lox,[Abbreviation],
LV,[Abbreviation],
mawii,[Abbreviation],
md1,[Abbreviation],
na,[Abbreviation],
NP,[Abbreviation],
nvsl,[Abbreviation],
ovi,[Abbreviation],
pdn,[Abbreviation],
roe,[Abbreviation],
RT1,[Abbreviation],
rt2,[Abbreviation],
sc,[Abbreviation],
seco,[Abbreviation],
si,[Abbreviation],
spp.,[Abbreviation],
VH1,[Abbreviation],
vp,[Abbreviation],
buy,[Activity-Procedure],
care,[Activity-Procedure],
clinical,[Activity-Procedure],
evisceration,[Activity-Procedure],
flying,[Activity-Procedure],
generated,[Activity-Procedure],
generating,[Activity-Procedure],
grazing,[Activity-Procedure],
irrigation,[Activity-Procedure],
manufactured,[Activity-Procedure],
medical check,[Activity-Procedure],
monitoring,[Activity-Procedure],
necropsy,[Activity-Procedure],
painting,[Activity-Procedure],
poisoning,[Activity-Procedure],
prodcution,[Activity-Procedure],
producing,[Activity-Procedure],
program,[Activity-Procedure],
render,[Activity-Procedure],
rendering,[Activity-Procedure],
rinse,[Activity-Procedure],
rub,[Activity-Procedure],
sale,[Activity-Procedure],
sampling,[Activity-Procedure],
sell,[Activity-Procedure],
standing,[Activity-Procedure],
swimming,[Activity-Procedure],
system,[Activity-Procedure],
travel,[Activity-Procedure],
walking,[Activity-Procedure],
wash,[Activity-Procedure],
miscellaneous,[Additional-Different],
other,[Additional-Different],
above,[LocationContextual],
above,[LocationContextual],
abyss,[LocationContextual],
agora,[LocationContextual],
air corridor,[LocationContextual],
airfield,[LocationContextual],
airspace,[LocationContextual],
alveolus,[LocationContextual],
artesian well,[LocationContextual],
at,[LocationContextual],
back,[LocationContextual],
beneath,[LocationContextual],
bergschrund,[LocationContextual],
beside,[LocationContextual],
between,[LocationContextual],
bight,[LocationContextual],
borehole,[LocationContextual],
bottom,[LocationContextual],
caldera,[LocationContextual],
camber,[LocationContextual],
campground,[LocationContextual],
cat flap,[LocationContextual],
cave,[LocationContextual],
cavern,[LocationContextual],
chicane,[LocationContextual],
clearing,[LocationContextual],
cleft,[LocationContextual],
colliery,[LocationContextual],
combustion chamber,[LocationContextual],
confines,[LocationContextual],
courtyard,[LocationContextual],
crack,[LocationContextual],
cranny,[LocationContextual],
crevasse,[LocationContextual],
crevice,[LocationContextual],
demarcation,[LocationContextual],
dog leg,[LocationContextual],
doorway,[LocationContextual],
down,[LocationContextual],
drey,[LocationContextual],
drive bay,[LocationContextual],
earhole,[LocationContextual],
elbow room,[LocationContextual],
embrasure,[LocationContextual],
esplanade,[LocationContextual],
eyelet,[LocationContextual],
f hole,[LocationContextual],
field of vision,[LocationContextual],
fireplace,[LocationContextual],
firmament,[LocationContextual],
first base,[LocationContextual],
fissure,[LocationContextual],
fistula,[LocationContextual],
follicle,[LocationContextual],
fontanelle,[LocationContextual],
forecourt,[LocationContextual],
foxhole,[LocationContextual],
fumarole,[LocationContextual],
gill,[LocationContextual],
grotto,[LocationContextual],
hairpin bend,[LocationContextual],
herbaceous border,[LocationContextual],
houseroom,[LocationContextual],
inglenook,[LocationContextual],
inside,[LocationContextual],
inside,[LocationContextual],
interstice,[LocationContextual],
junction,[LocationContextual],
kerbside,[LocationContextual],
keyhole,[LocationContextual],
legroom,[LocationContextual],
line of sight,[LocationContextual],
maidan,[LocationContextual],
mail slot,[LocationContextual],
manhole,[LocationContextual],
Mason Dixon Line,[LocationContextual],
mineshaft,[LocationContextual],
mortise,[LocationContextual],
nostril,[LocationContextual],
ocean trench,[LocationContextual],
oil well,[LocationContextual],
on,[LocationContextual],
orifice,[LocationContextual],
orphanage,[LocationContextual],
outside,[LocationContextual],
peephole,[LocationContextual],
personal space,[LocationContextual],
pinhole,[LocationContextual],
plughole,[LocationContextual],
priest's hole,[LocationContextual],
root canal,[LocationContextual],
S bend,[LocationContextual],
sandpit,[LocationContextual],
seam,[LocationContextual],
sett,[LocationContextual],
shoplot,[LocationContextual],
sinkhole,[LocationContextual],
sky,[LocationContextual],
slit,[LocationContextual],
spyhole,[LocationContextual],
stairwell,[LocationContextual],
standing room,[LocationContextual],
stowage,[LocationContextual],
surface,[LocationContextual],
swallow hole,[LocationContextual],
syncline,[LocationContextual],
tear,[LocationContextual],
thumb index,[LocationContextual],
turning,[LocationContextual],
under,[LocationContextual],
up,[LocationContextual],
virtual memory,[LocationContextual],
visual field,[LocationContextual],
void,[LocationContextual],
wheel arch,[LocationContextual],
wishing well,[LocationContextual],
abdominal,[BodyPart-OR-OrganicPart],
