african clawed frog,FOODON_CandidateTerm_Wikipedia_1,"The African clawed frog (Xenopus laevis, also known as the xenopus, African clawed toad, African claw-toed frog or the platanna) is a species of African aquatic frog of the Pipidae family.'""}",,FOODON_CandidateTerm_Wikipedia_African_clawed_frog
aloe vera,FOODON_CandidateTerm_Wikipedia_2,"Aloe vera ( or ) is a plant species of the genus Aloe.'""}",,FOODON_CandidateTerm_Wikipedia_Aloe_vera
arnica montana,FOODON_CandidateTerm_Wikipedia_3,"""Arnica montana, also known as wolf\'s bane, leopard\'s bane, mountain tobacco and mountain arnica, is a moderately toxic ethnobotanical European flowering plant in the sunflower family.""'}",,FOODON_CandidateTerm_Wikipedia_Arnica_montana
ball python,FOODON_CandidateTerm_Wikipedia_4,"The ball python (Python regius), also known as the royal python, is a python species found in sub-Saharan Africa.'""}",,FOODON_CandidateTerm_Wikipedia_Ball_python
banana leaf,FOODON_CandidateTerm_Wikipedia_5,"Banana leaves have a wide range of applications because they are large, flexible, waterproof and decorative.",,FOODON_CandidateTerm_Wikipedia_Banana_leaf
bean sprout,FOODON_CandidateTerm_Wikipedia_6,Bean sprouts are a common ingredient across the world.',,FOODON_CandidateTerm_Wikipedia_Bean_sprout
bell pepper,FOODON_CandidateTerm_Wikipedia_7,"The bell pepper (also known as sweet pepper or pepper in the United Kingdom, Canada and Ireland, and capsicum  in Australia, India, Pakistan, Bangladesh, Singapore and New Zealand) is a cultivar group of the species Capsicum annuum.'""}",,FOODON_CandidateTerm_Wikipedia_Bell_pepper
bigeye tuna,FOODON_CandidateTerm_Wikipedia_8,"Bigeye tuna, Thunnus obesus, is an important food fish and prized recreational game fish.'""}",,FOODON_CandidateTerm_Wikipedia_Bigeye_tuna
black cumin,FOODON_CandidateTerm_Wikipedia_9,"Black cumin can refer to the seeds of either of two quite different plants, both of which are used as spices:\\nBunium bulbocastanum, black cumin is considered similar to caraway, but they are two distinctly different plants.'""}",,FOODON_CandidateTerm_Wikipedia_Black_cumin
black drum,FOODON_CandidateTerm_Wikipedia_10,"The black drum (Pogonias cromis), also known as ""Blue Drum"" for its dark and hint of blue color, is a saltwater fish similar to its cousin, the red drum.\''}",,FOODON_CandidateTerm_Wikipedia_Black_drum
blood culture,FOODON_CandidateTerm_Wikipedia_11,Blood culture is a microbiological culture of blood.,,FOODON_CandidateTerm_Wikipedia_Blood_culture
blue crab,FOODON_CandidateTerm_Wikipedia_12,"Blue crab may refer to:'""}",,FOODON_CandidateTerm_Wikipedia_Blue_crab
blue mackerel,FOODON_CandidateTerm_Wikipedia_13,"The blue mackerel, Japanese mackerel, Pacific mackerel, slimy mackerel, or spotted chub mackerel (Scomber australasicus) is a fish of the family Scombridae, found in tropical and subtropical waters of the Pacific Ocean from Japan south to Australia and New Zealand, in the eastern Pacific (Hawaii and Socorro Island, Mexico), and the Indo-West Pacific",,FOODON_CandidateTerm_Wikipedia_Blue_mackerel
blue runner,FOODON_CandidateTerm_Wikipedia_14,"The blue runner (Caranx crysos), also known as the bluestripe jack, Egyptian scad, hardtail jack and hardnose, is a common species of moderately large marine fish classified in the jack family, Carangidae.'""}",,FOODON_CandidateTerm_Wikipedia_Blue_runner
boa constrictor,FOODON_CandidateTerm_Wikipedia_15,"The boa constrictor (Boa constrictor), also called the red-tailed boa or the common boa, is a species of large, heavy-bodied snake that is frequently kept and bred in captivity.'""}",,FOODON_CandidateTerm_Wikipedia_Boa_constrictor
body fluid,FOODON_CandidateTerm_Wikipedia_16,"Body fluid, bodily fluids, or biofluids are liquids within the bodies of living people.'""}",,FOODON_CandidateTerm_Wikipedia_Body_fluid
boiga dendrophila,FOODON_CandidateTerm_Wikipedia_17,"Boiga dendrophila, commonly called the mangrove snake or gold-ringed cat snake, is a species of rear-fanged colubrid from southeast Asia.'""}",,FOODON_CandidateTerm_Wikipedia_Boiga_dendrophila
brazil nut,FOODON_CandidateTerm_Wikipedia_18,"""The Brazil nut (Bertholletia excelsa) is a South American tree in the family Lecythidaceae, and also the name of the tree's commercially harvested edible seeds.""",,FOODON_CandidateTerm_Wikipedia_Brazil_nut
calf lymph,FOODON_CandidateTerm_Wikipedia_19,"Calf lymph was the name given to a type of smallpox vaccine used in the 19th century, and which was still manufactured up to the 1970s.",,FOODON_CandidateTerm_Wikipedia_Calf_lymph
candy bar,FOODON_CandidateTerm_Wikipedia_20,"A candy bar is a type of sugar confectionery that is in the shape of a bar.'""}",,FOODON_CandidateTerm_Wikipedia_Candy_bar
carbon monoxide,FOODON_CandidateTerm_Wikipedia_21,"Carbon monoxide (CO) is a colorless, odorless, and tasteless gas that is slightly less dense than air.'""}",,FOODON_CandidateTerm_Wikipedia_Carbon_monoxide
channel catfish,FOODON_CandidateTerm_Wikipedia_22,"""Channel catfish (Ictalurus punctatus) is North America\'s most numerous catfish species.""'}",,FOODON_CandidateTerm_Wikipedia_Channel_catfish
cheese cracker,FOODON_CandidateTerm_Wikipedia_23,"The cheese cracker is a type of cracker prepared using cheese as a main ingredient.'""}",,FOODON_CandidateTerm_Wikipedia_Cheese_cracker
cheese roll,FOODON_CandidateTerm_Wikipedia_24,"A cheese roll (occasionally known by the older name of Cheese roll-up) is a snack food similar to Welsh rarebit, but created by covering a slice of bread in a prepared filling consisting mainly of grated or sliced cheese, and then rolling it into a tube shape before toasting.'""}",,FOODON_CandidateTerm_Wikipedia_Cheese_roll
cheese spread,FOODON_CandidateTerm_Wikipedia_25,"Cheese spread is a soft spreadable cheese or processed cheese product.'""}",,FOODON_CandidateTerm_Wikipedia_Cheese_spread
cherry tomato,FOODON_CandidateTerm_Wikipedia_26,"A cherry tomato is a rounded, small fruited tomato thought to be an intermediate genetic admixture between wild currant-type tomatoes and domesticated garden tomatoes.'""}",,FOODON_CandidateTerm_Wikipedia_Cherry_tomato
